Parameters: ofhp = 14 ofwp = 14 kw = 1 ofw = 14 pad_w = 0 nIfm = 1024 nOfm = 256 ofh = 14 ifwp = 14 kh = 1 pad_h = 0 nImg = 1 ifhp = 14 
dependence 	 source 	 min_target 	 max_target 	 min_WS_size 	 max_WS_size
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ifm_tile' = ifm_tile and oj' = kj + oj - kj' and oi' = ki + oi - ki' and ifm' = ifm and 0 <= img < nImg and ofm_tile >= 0 and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 64ifm_tile <= -64 + nIfm and 0 <= oj < ofh and oj < 2pad_h + ifhp - kj and 0 <= oi < ofw and oi < 2pad_w + ifwp - ki and 0 <= ofm <= 63 and 0 <= ifm <= 63 and ofm_tile' > ofm_tile and 64ofm_tile' <= -64 + nOfm and kj' >= 0 and -ofh + kj + oj < kj' <= kj + oj and kj' < kh and ki' >= 0 and -ofw + ki + oi < ki' <= ki + oi and ki' < kw and 0 <= ofm' <= 63 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 0] : ifwp > -2pad_w and ifhp > -2pad_h and nIfm >= 64 and nOfm >= 128 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 1, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 0] : ifwp > -2pad_w and ifhp > -2pad_h and nIfm >= 64 and nOfm >= 128 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 63, ifm = 0] : ifwp > -2pad_w and ifhp > -2pad_h and nIfm >= 64 and nOfm >= 128 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 and -127 + nOfm <= 64ofm_tile <= -64 + nOfm }	278786	434944
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and ifm_tile' = ifm_tile and ofm' = ofm and ifm' = ifm and 0 <= img < nImg and ofm_tile >= 0 and 64ofm_tile <= -64 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 64ifm_tile <= -64 + nIfm and oj >= 0 and 0 <= oi < ofw and 0 <= ofm <= 63 and 0 <= ifm <= 63 and oj < oj' < ofh and 0 <= oi' < ofw }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 0] : nIfm >= 64 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh >= 2 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 1, oi = 0, ofm = 0, ifm = 0] : nIfm >= 64 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh >= 2 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = -1 + ofh, oi = -1 + ofw, ofm = 0, ifm = 0] : nIfm >= 64 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh >= 2 and ofw > 0 }	5890	27392
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and oj' = oj and oi' = oi and ofm' = ofm and 0 <= img < nImg and ofm_tile >= 0 and 64ofm_tile <= -64 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 0 <= oj < ofh and oj < ofhp and 0 <= oi < ofw and oi < ofwp and 0 <= ofm <= 63 and 0 <= ifm <= 63 and ifm_tile' > ifm_tile and 64ifm_tile' <= -64 + nIfm and 0 <= ifm' <= 63 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 0] : nIfm >= 128 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 1, oj = 0, oi = 0, ofm = 0, ifm = 0] : nIfm >= 128 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile, oj = 0, oi = 0, ofm = 0, ifm = 63] : nIfm >= 128 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 and -127 + nIfm <= 64ifm_tile <= -64 + nIfm }	29186	262144
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and ifm_tile' = ifm_tile and oj' = oj and ofm' = ofm and ifm' = ifm and 0 <= img < nImg and ofm_tile >= 0 and 64ofm_tile <= -64 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 64ifm_tile <= -64 + nIfm and 0 <= oj < ofh and oi >= 0 and 0 <= ofm <= 63 and 0 <= ifm <= 63 and oi < oi' < ofw }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 0] : nIfm >= 64 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw >= 2 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 1, ofm = 0, ifm = 0] : nIfm >= 64 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw >= 2 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = -1 + ofw, ofm = 0, ifm = 0] : nIfm >= 64 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw >= 2 }	4226	5760
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and ifm_tile' = ifm_tile and oj' = oj and oi' = oi and ofm' = ofm and 0 <= img < nImg and ofm_tile >= 0 and 64ofm_tile <= -64 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 64ifm_tile <= -64 + nIfm and 0 <= oj < ofh and oj < ofhp and 0 <= oi < ofw and oi < ofwp and 0 <= ofm <= 63 and ifm >= 0 and ifm < ifm' <= 63 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 0] : nIfm >= 64 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 1] : nIfm >= 64 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 63] : nIfm >= 64 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	5	127
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and ifm_tile' = ifm_tile and oj' = oj and oi' = oi and ifm' = ifm and 0 <= img < nImg and ofm_tile >= 0 and 64ofm_tile <= -64 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 64ifm_tile <= -64 + nIfm and 0 <= oj < ofh and oj < 2pad_h + ifhp - kj and 0 <= oi < ofw and oi < 2pad_w + ifwp - ki and ofm >= 0 and 0 <= ifm <= 63 and ofm < ofm' <= 63 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 0] : ifwp > -2pad_w and ifhp > -2pad_h and nIfm >= 64 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 1, ifm = 0] : ifwp > -2pad_w and ifhp > -2pad_h and nIfm >= 64 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 63, ifm = 0] : ifwp > -2pad_w and ifhp > -2pad_h and nIfm >= 64 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	131	4159
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and oj' = oj and oi' = oi and ofm' = ofm and 0 <= img < nImg and ofm_tile >= 0 and 64ofm_tile <= -64 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 0 <= oj < ofh and oj < ofhp and 0 <= oi < ofw and oi < ofwp and 0 <= ofm <= 63 and 0 <= ifm <= 63 and ifm_tile' > ifm_tile and 64ifm_tile' <= -64 + nIfm and 0 <= ifm' <= 63 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 0] : nIfm >= 128 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 1, oj = 0, oi = 0, ofm = 0, ifm = 0] : nIfm >= 128 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile, oj = 0, oi = 0, ofm = 0, ifm = 63] : nIfm >= 128 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 and -127 + nIfm <= 64ifm_tile <= -64 + nIfm }	29186	262144
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and ifm_tile' = ifm_tile and oj' = oj and oi' = oi and ofm' = ofm and 0 <= img < nImg and ofm_tile >= 0 and 64ofm_tile <= -64 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 64ifm_tile <= -64 + nIfm and 0 <= oj < ofh and oj < ofhp and 0 <= oi < ofw and oi < ofwp and 0 <= ofm <= 63 and ifm >= 0 and ifm < ifm' <= 63 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 0] : nIfm >= 64 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 1] : nIfm >= 64 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img = 0, ofm_tile = 0, kj = 0, ki = 0, ifm_tile = 0, oj = 0, oi = 0, ofm = 0, ifm = 63] : nIfm >= 64 and ofwp > 0 and ofhp > 0 and nOfm >= 64 and kw > 0 and kh > 0 and nImg > 0 and ofh > 0 and ofw > 0 }	5	127
#reuses in L1, L2, L3:	9	5	1	1
