Config,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem
100 56 56 64 256 1 1 0 0 1,2,85.409,8,2,2,0,3,87.333,8,4,0,0,4,85.412,8,2,2,0,5,87.678,8,4,0,0
100 56 56 64 64 1 1 0 0 1,2,83.204,8,2,0,0,3,83.903,8,2,0,0,4,84.13,8,2,0,0,5,84.166,8,2,0,0
100 56 56 64 64 3 3 1 1 1,2,97.375,8,14,0,0,3,97.096,8,14,0,0,4,85.035,8,2,12,0,5,85.271,8,2,12,0
100 56 56 256 64 1 1 0 0 1,2,85.095,8,2,4,0,3,91.575,8,6,0,0,4,84.842,8,2,4,0,5,85.067,8,2,4,0
100 28 28 256 512 1 1 0 0 1,2,92.828,10,4,2,0,3,95.626,12,4,0,0,4,93.092,10,4,2,0,5,87.093,10,2,4,0
100 28 28 256 128 1 1 0 0 1,2,90.845,10,4,2,0,3,93.93,12,4,0,0,4,91.197,10,4,2,0,5,94.905,10,6,0,0
100 28 28 128 128 3 3 1 1 1,2,98.702,14,14,0,0,3,98.304,12,16,0,0,4,98.4,10,18,0,0,5,97.537,10,18,0,0
100 28 28 128 512 1 1 0 0 1,2,91.351,10,6,0,0,3,92.943,12,4,0,0,4,92.292,10,6,0,0,5,86.529,10,2,4,0
100 28 28 512 128 1 1 0 0 1,2,92.831,10,4,2,0,3,94.635,12,4,0,0,4,92.938,10,4,2,0,5,95.68,10,6,0,0
100 14 14 512 1024 1 1 0 0 1,2,93.264,10,6,0,0,3,65.764,12,2,2,0,4,93.762,10,6,0,0,5,69.896,10,2,4,0
100 14 14 512 256 1 1 0 0 1,2,95.661,10,6,0,0,3,96.435,12,4,0,0,4,96.016,10,6,0,0,5,93.485,10,6,0,0
100 14 14 256 256 3 3 1 1 1,2,92.651,14,14,0,0,3,65.757,12,12,4,0,4,95.149,10,18,0,0,5,91.176,10,18,0,0
100 14 14 256 1024 1 1 0 0 1,2,91.857,10,6,0,0,3,72.848,12,2,2,0,4,92.371,10,6,0,0,5,69.684,10,2,4,0
100 14 14 1024 256 1 1 0 0 1,2,91.512,10,4,2,0,3,70.514,12,2,2,0,4,92.021,10,4,2,0,5,90.557,10,6,0,0
100 7 7 1024 2048 1 1 0 0 1,2,80.482,10,6,0,0,3,49.969,12,2,2,0,4,81.336,10,6,0,0,5,48.065,10,6,0,0
100 7 7 1024 512 1 1 0 0 1,2,80.046,10,6,0,0,3,44.957,12,2,2,0,4,80.747,10,6,0,0,5,69.179,10,6,0,0
100 7 7 512 512 3 3 1 1 1,2,75.663,14,12,2,0,3,49.491,12,2,14,0,4,81.851,10,16,2,0,5,69.497,10,14,4,0
100 7 7 512 2048 1 1 0 0 1,2,79.754,10,6,0,0,3,47.931,12,2,2,0,4,80.315,10,6,0,0,5,46.433,10,6,0,0
100 7 7 2048 512 1 1 0 0 1,2,79.641,10,6,0,0,3,48.064,12,2,2,0,4,80.419,10,6,0,0,5,69.453,10,6,0,0
