Machine,"pcl-skx22
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                112
On-line CPU(s) list:   0-111
Thread(s) per core:    2
Core(s) per socket:    28
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Xeon(R) Platinum 8180 CPU @ 2.50GHz
Stepping:              4
CPU MHz:               1700.000
CPU max MHz:           2501.0000
CPU min MHz:           1000.0000
BogoMIPS:              5000.00
Virtualization:        VT-x
L1d cache:             32K
L1i cache:             32K
L2 cache:              1024K
L3 cache:              39424K
NUMA node0 CPU(s):     0-27,56-83
NUMA node1 CPU(s):     28-55,84-111
",,,,,Compiler,icc (ICC) 19.0.3.199 20190206,,,,,,,,,,,,,,,,,,,,,Best performance,,,,,,,,"Batch-reduce-gemm LIBXSMM
branch: numa_gxm_batch_reduce_gemm_generic_conv
100 14 14 512 256 1 1 0 0 1,1,0,,1,,2,95.661,3,96.435,4,96.016,5,93.485,28,0,,1,,2,2406.2,3,2473.8,4,2444.1,5,2406.1,,96.435,2473.8,25.65251205,,96.435,2473.8,,,100.05,2800.6,27.992004,0.963868066,0.883310719,,93.6305,2617.17,27.95210962,1.029952847,0.945219455
100 14 14 256 256 3 3 1 1 1,1,0,,1,,2,92.651,3,65.757,4,95.149,5,91.176,28,0,,1,,2,2561.2,3,2130.9,4,2648.8,5,2521.7,,95.149,2648.8,27.83844286,,92.651,2561.2,,,59.613,2105.3,35.31612232,1.554207975,1.21654871,,87.145,2426.27,27.84175799,1.063182053,1.055612112
100 14 14 256 1024 1 1 0 0 1,1,0,,1,,2,91.857,3,72.848,4,92.371,5,69.684,28,0,,1,,2,2525.3,3,2052.2,4,2535.9,5,2002.6,,92.371,2535.9,27.45342153,,92.371,2535.9,,,94.1,2628.8,27.93623804,0.98162593,0.964660682,,92.3479,2465.72,26.70033645,1.000250141,1.028462275
100 14 14 1024 256 1 1 0 0 1,1,0,,1,,2,91.512,3,70.514,4,92.021,5,90.557,28,0,,1,,2,2395.5,3,2055.4,4,2413.8,5,2376.6,,92.021,2413.8,26.23096902,,90.557,2376.6,,,91.734,2438.8,26.5855626,0.987169425,0.974495654,,90.9547,2626.85,28.88086047,0.995627494,0.904733807
100 7 7 1024 2048 1 1 0 0 1,1,0,,1,,2,80.482,3,49.969,4,81.336,5,48.065,28,0,,1,,2,2282,3,1584.9,4,2273.7,5,1470.8,,81.336,2282,28.05645717,,81.336,2282,,,85.101,2397.4,28.17123183,0.955758452,0.95186452,,80.178,2158.46,26.92085111,1.014442865,1.057235251
100 7 7 1024 512 1 1 0 0 1,1,0,,1,,2,80.046,3,44.957,4,80.747,5,69.179,28,0,,1,,2,2275.3,3,1182.3,4,2147.1,5,1813.5,,80.747,2275.3,28.17813665,,80.747,2275.3,,,85.148,2754.2,32.34603279,0.948313525,0.826120108,,76.6759,2324.16,30.31147988,1.05309491,0.978977351
100 7 7 512 512 3 3 1 1 1,1,0,,1,,2,75.663,3,49.491,4,81.851,5,69.497,28,0,,1,,2,2077.6,3,1466.4,4,2273.5,5,1923.4,,81.851,2273.5,27.77608093,,75.663,2077.6,,,59.71,1839.6,30.80890973,1.267174678,1.129375951,,81.5424,2242,27.49489836,0.927897634,0.926672614
100 7 7 512 2048 1 1 0 0 1,1,0,,1,,2,79.754,3,47.931,4,80.315,5,46.433,28,0,,1,,2,2318.6,3,1508.8,4,2253.4,5,1304.4,,80.315,2318.6,28.86882899,,80.315,2318.6,,,83.892,2357.1,28.09683879,0.957361846,0.98366637,,81.463,2190.92,26.89466384,0.985907713,1.058276888
100 7 7 2048 512 1 1 0 0 1,1,0,,1,,2,79.641,3,48.064,4,80.419,5,69.453,28,0,,1,,2,2227.1,3,1332.8,4,2263.2,5,1848.2,,80.419,2263.2,28.14260312,,80.419,2263.2,,,80.981,2388.3,29.49210309,0.993060101,0.947619646,,76.6851,2290.9,29.87412157,1.048691336,0.987908682
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric mean,,,105.80%,91.12%,,,,,101.02%,89.63%
