2,86.129,5,2,1,0,34592,89608,1593344,0
3,85.819,5,2,1,0,34592,89608,1593344,0
4,85.89,5,2,1,0,34592,89608,1593344,0
5,85.634,5,2,1,0,34592,89608,1593344,0
1_7_7_1_1,81.87,11,4,1,0,59256,2130960,1417216,0
1_7_7_1_4,83.811,11,4,1,0,52856,492048,1421312,0
1_7_7_1_16,83.721,11,4,1,0,52856,492048,1421312,0
1_7_7_1_64,83.071,11,4,1,0,52856,492048,1421312,0
1_7_7_4_1,84.469,11,4,1,0,59256,2130960,1417216,0
1_7_7_4_4,84.286,11,4,1,0,52856,492048,1421312,0
1_7_7_4_16,84.347,11,4,1,0,52856,492048,1421312,0
1_7_7_4_64,83.96,11,4,1,0,52856,492048,1421312,0
1_7_7_16_1,84.07,11,4,1,0,59256,2130960,1417216,0
1_7_7_16_4,83.425,11,4,1,0,52856,492048,1421312,0
1_7_7_16_16,83.788,11,4,1,0,52856,492048,1421312,0
1_7_7_16_64,84.573,11,4,1,0,52856,492048,1421312,0
1_7_7_64_1,84.8,11,4,1,0,59256,2130960,1417216,0
1_7_7_64_4,84.663,11,4,1,0,52856,492048,1421312,0
1_7_7_64_16,84.316,11,4,1,0,52856,492048,1421312,0
1_7_7_64_64,84.664,11,4,1,0,52856,492048,1421312,0
1_7_28_1_1,84.46,11,4,1,0,59256,2507272,1417216,0
1_7_28_1_4,84.68,11,5,0,0,52856,2515464,0,0
1_7_28_1_16,84.382,11,5,0,0,52856,2515464,0,0
1_7_28_1_64,84.836,11,5,0,0,52856,2515464,0,0
1_7_28_4_1,83.297,11,4,1,0,59256,2507272,1417216,0
1_7_28_4_4,83.309,11,5,0,0,52856,2515464,0,0
1_7_28_4_16,83.243,11,5,0,0,52856,2515464,0,0
1_7_28_4_64,83.376,11,5,0,0,52856,2515464,0,0
1_7_28_16_1,83.143,11,4,1,0,59256,2507272,1417216,0
1_7_28_16_4,83.766,11,5,0,0,52856,2515464,0,0
1_7_28_16_16,82.36,11,5,0,0,52856,2515464,0,0
1_7_28_16_64,83.419,11,5,0,0,52856,2515464,0,0
1_7_28_64_1,82.689,11,4,1,0,59256,2507272,1417216,0
1_7_28_64_4,83.359,11,5,0,0,52856,2515464,0,0
1_7_28_64_16,82.404,11,5,0,0,52856,2515464,0,0
1_7_28_64_64,83.384,11,5,0,0,52856,2515464,0,0
1_28_7_1_1,83.924,11,4,1,0,70000,2130960,1417216,0
1_28_7_1_4,84.66,12,3,1,0,121200,450576,1421312,0
1_28_7_1_16,85.368,12,3,1,0,121200,450576,1421312,0
1_28_7_1_64,84.727,12,3,1,0,121200,450576,1421312,0
1_28_7_4_1,84.292,11,4,1,0,70000,2130960,1417216,0
1_28_7_4_4,83.819,12,3,1,0,121200,450576,1421312,0
1_28_7_4_16,83.819,12,3,1,0,121200,450576,1421312,0
1_28_7_4_64,84.468,12,3,1,0,121200,450576,1421312,0
1_28_7_16_1,85.243,11,4,1,0,70000,2130960,1417216,0
1_28_7_16_4,84.573,12,3,1,0,121200,450576,1421312,0
1_28_7_16_16,85.27,12,3,1,0,121200,450576,1421312,0
1_28_7_16_64,85.571,12,3,1,0,121200,450576,1421312,0
1_28_7_64_1,84.591,11,4,1,0,70000,2130960,1417216,0
1_28_7_64_4,83.654,12,3,1,0,121200,450576,1421312,0
1_28_7_64_16,85.085,12,3,1,0,121200,450576,1421312,0
1_28_7_64_64,84.189,12,3,1,0,121200,450576,1421312,0
1_28_28_1_1,85.172,11,4,1,0,70000,2507272,1417216,0
1_28_28_1_4,84.665,12,4,0,0,121200,2473992,0,0
1_28_28_1_16,84.708,12,4,0,0,121200,2473992,0,0
1_28_28_1_64,84.702,12,4,0,0,121200,2473992,0,0
1_28_28_4_1,84.534,11,4,1,0,70000,2507272,1417216,0
1_28_28_4_4,84.173,12,4,0,0,121200,2473992,0,0
1_28_28_4_16,85.919,12,4,0,0,121200,2473992,0,0
1_28_28_4_64,84.934,12,4,0,0,121200,2473992,0,0
1_28_28_16_1,84.864,11,4,1,0,70000,2507272,1417216,0
1_28_28_16_4,84.628,12,4,0,0,121200,2473992,0,0
1_28_28_16_16,84.741,12,4,0,0,121200,2473992,0,0
1_28_28_16_64,85.159,12,4,0,0,121200,2473992,0,0
1_28_28_64_1,84.932,11,4,1,0,70000,2507272,1417216,0
1_28_28_64_4,84.152,12,4,0,0,121200,2473992,0,0
1_28_28_64_16,84.922,12,4,0,0,121200,2473992,0,0
1_28_28_64_64,84.678,12,4,0,0,121200,2473992,0,0
0_7_7_1_1,84.979,7,4,1,0,74024,492048,1421312,0
0_7_7_1_4,84.536,7,4,1,0,74024,492048,1421312,0
0_7_7_1_16,84.862,7,4,1,0,74024,492048,1421312,0
0_7_7_1_64,84.336,7,4,1,0,74024,492048,1421312,0
0_7_7_4_1,84.942,7,4,1,0,74024,492048,1421312,0
0_7_7_4_4,84.349,7,4,1,0,74024,492048,1421312,0
0_7_7_4_16,84.296,7,4,1,0,74024,492048,1421312,0
0_7_7_4_64,84.532,7,4,1,0,74024,492048,1421312,0
0_7_7_16_1,84.552,7,4,1,0,74024,492048,1421312,0
0_7_7_16_4,84.909,7,4,1,0,74024,492048,1421312,0
0_7_7_16_16,84.509,7,4,1,0,74024,492048,1421312,0
0_7_7_16_64,84.725,7,4,1,0,74024,492048,1421312,0
0_7_7_64_1,84.594,7,4,1,0,74024,492048,1421312,0
0_7_7_64_4,83.546,7,4,1,0,74024,492048,1421312,0
0_7_7_64_16,84.56,7,4,1,0,74024,492048,1421312,0
0_7_7_64_64,84.545,7,4,1,0,74024,492048,1421312,0
0_7_28_1_1,83.986,7,5,0,0,74024,2515464,0,0
0_7_28_1_4,84.477,7,5,0,0,74024,2515464,0,0
