ActualRank,PolyRank,GFLOPS,Version
1,116,86.129,2
2,1,85.919,1_28_28_4_16
3,115,85.89,4
4,27,85.856,0_28_28_16_4
5,114,85.819,3
6,113,85.634,5
7,42,85.584,0_7_28_16_1
8,67,85.571,1_28_7_16_64
9,79,85.548,0_28_7_16_1
10,81,85.538,0_28_7_16_16
11,28,85.521,0_28_28_64_64
12,69,85.478,0_28_7_64_64
13,78,85.475,0_28_7_1_64
14,26,85.469,0_28_28_4_4
15,73,85.454,0_28_7_4_64
16,25,85.432,0_28_28_4_64
17,24,85.425,0_28_28_64_1
18,23,85.402,0_28_28_1_1
19,59,85.368,1_28_7_1_16
20,21,85.366,0_28_28_16_16
21,22,85.342,0_28_28_16_64
22,20,85.306,0_28_28_16_1
23,71,85.303,0_28_7_4_16
24,83,85.299,0_28_7_1_1
25,80,85.28,0_28_7_1_16
26,66,85.27,1_28_7_16_16
27,16,85.25,0_28_28_64_16
28,15,85.244,0_28_28_4_16
29,122,85.243,1_28_7_16_1
30,82,85.235,0_28_7_64_4
31,129,85.172,1_28_28_1_1
32,13,85.168,0_28_28_1_4
33,10,85.159,1_28_28_16_64
34,14,85.094,0_28_28_1_16
36,77,85.085,0_28_7_16_4
35,57,85.085,1_28_7_64_16
37,74,85.063,0_28_7_64_16
38,17,85.057,0_28_28_4_1
39,18,85.044,0_28_28_1_64
40,41,85.016,0_7_28_16_16
41,72,85.015,0_28_7_4_4
42,19,84.994,0_28_28_64_4
43,98,84.979,0_7_7_1_1
44,70,84.977,0_28_7_64_1
45,97,84.942,0_7_7_4_1
46,12,84.934,1_28_28_4_64
47,132,84.932,1_28_28_64_1
48,75,84.928,0_28_7_1_4
49,76,84.924,0_28_7_16_64
50,11,84.922,1_28_28_64_16
51,56,84.917,0_7_28_16_64
52,102,84.909,0_7_7_16_4
53,84,84.899,0_28_7_4_1
54,130,84.864,1_28_28_16_1
55,111,84.862,0_7_7_1_16
56,55,84.846,0_7_28_1_16
57,33,84.836,1_7_28_1_64
58,117,84.8,1_7_7_64_1
59,54,84.768,0_7_28_64_64
60,9,84.741,1_28_28_16_16
61,68,84.727,1_28_7_1_64
62,103,84.725,0_7_7_16_64
63,53,84.715,0_7_28_64_1
64,8,84.708,1_28_28_1_16
65,52,84.703,0_7_28_64_16
66,7,84.702,1_28_28_1_64
67,29,84.68,1_7_28_1_4
68,5,84.678,1_28_28_64_64
69,4,84.665,1_28_28_1_4
70,85,84.664,1_7_7_64_64
71,92,84.663,1_7_7_64_4
72,65,84.66,1_28_7_1_4
73,51,84.63,0_7_28_4_4
74,3,84.628,1_28_28_16_4
75,104,84.594,0_7_7_64_1
76,121,84.591,1_28_7_64_1
78,63,84.573,1_28_7_16_4
77,95,84.573,1_7_7_16_64
79,106,84.56,0_7_7_64_16
80,107,84.552,0_7_7_16_1
81,108,84.545,0_7_7_64_64
82,109,84.536,0_7_7_1_4
83,131,84.534,1_28_28_4_1
84,101,84.532,0_7_7_4_64
85,110,84.509,0_7_7_16_16
86,50,84.504,0_7_28_16_4
87,49,84.501,0_7_28_4_64
88,48,84.493,0_7_28_4_1
89,47,84.478,0_7_28_1_64
90,46,84.477,0_7_28_1_4
91,119,84.469,1_7_7_4_1
92,60,84.468,1_28_7_4_64
93,128,84.46,1_7_28_1_1
94,45,84.444,0_7_28_64_4
95,40,84.382,1_7_28_1_16
96,112,84.349,0_7_7_4_4
97,88,84.347,1_7_7_4_16
98,44,84.344,0_7_28_4_16
99,105,84.336,0_7_7_1_64
100,86,84.316,1_7_7_64_16
101,100,84.296,0_7_7_4_16
102,124,84.292,1_28_7_4_1
103,89,84.286,1_7_7_4_4
104,58,84.189,1_28_7_64_64
105,2,84.173,1_28_28_4_4
106,6,84.152,1_28_28_64_4
107,118,84.07,1_7_7_16_1
108,43,83.986,0_7_28_1_1
109,96,83.96,1_7_7_4_64
110,123,83.924,1_28_7_1_1
111,61,83.819,1_28_7_4_16
112,62,83.819,1_28_7_4_4
113,94,83.811,1_7_7_1_4
114,93,83.788,1_7_7_16_16
115,39,83.766,1_7_28_16_4
116,90,83.721,1_7_7_1_16
117,64,83.654,1_28_7_64_4
118,99,83.546,0_7_7_64_4
119,87,83.425,1_7_7_16_4
120,38,83.419,1_7_28_16_64
121,37,83.384,1_7_28_64_64
122,36,83.376,1_7_28_4_64
123,35,83.359,1_7_28_64_4
124,34,83.309,1_7_28_4_4
125,125,83.297,1_7_28_4_1
126,32,83.243,1_7_28_4_16
127,126,83.143,1_7_28_16_1
128,91,83.071,1_7_7_1_64
129,127,82.689,1_7_28_64_1
130,31,82.404,1_7_28_64_16
131,30,82.36,1_7_28_16_16
132,120,81.87,1_7_7_1_1

