Version,GFLOPS,L1Reuse,L2Reuse,L3Reuse,L4Reuse,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,TotalDataSetSize,PessiL1DataSetSize,PessiL2DataSetSize,PessiL3DataSetSize,PessiMemDataSetSize,PessiTotalDataSetSize
0_28_7_16_64,1768.2,8,5,0,1,126240,1468440,0,3577856,5172536,17144,699904,567304,3577856,4862208
0_28_7_16_256,1763.7,8,5,0,1,126240,1468440,0,3577856,5172536,17144,699904,567304,3577856,4862208
0_28_7_64_1,1640.8,8,3,1,2,126240,450576,1421312,4882440,6880568,17144,466440,1421312,3260416,5165312
0_28_7_64_4,1758.1,8,5,0,1,126240,1468440,0,3577856,5172536,17144,699904,567304,3577856,4862208
0_28_7_64_16,1762.6,8,5,0,1,126240,1468440,0,3577856,5172536,17144,699904,567304,3577856,4862208
0_28_7_64_64,1758.5,8,5,0,1,126240,1468440,0,3577856,5172536,17144,699904,567304,3577856,4862208
0_28_7_64_256,1762.4,8,5,0,1,126240,1468440,0,3577856,5172536,17144,699904,567304,3577856,4862208
0_28_28_1_1,1656.9,8,4,0,2,126240,2473992,0,4882440,7482672,17144,851456,819200,3260416,4948216
0_28_28_1_4,1774.3,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_1_16,1764.2,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_1_64,1783.2,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_1_256,1789.5,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_4_1,1628.7,8,4,0,2,126240,2473992,0,4882440,7482672,17144,851456,819200,3260416,4948216
0_28_28_4_4,1782.2,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_4_16,1764.7,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_4_64,1775.5,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_4_256,1789.9,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_16_1,1655.5,8,4,0,2,126240,2473992,0,4882440,7482672,17144,851456,819200,3260416,4948216
0_28_28_16_4,1788.2,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
0_28_28_16_16,1790.3,8,3,0,3,126240,1654800,0,5799936,7580976,17144,851456,819208,3727360,5415168
