Parameters: ofw = 56; ofh = 56; nIfm = 64; ifhp = 56; ofhp = 56; pad_w = 0; kw = 1; ifwp = 56; ofwp = 56; nOfm = 256; pad_h = 0; kh = 1; nImg = 1; 
dependence 	 min_WS_size 	 max_WS_size
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ifm_tile' = ifm_tile and oj' = kj + oj - kj' and oi' = ki + oi - ki' and ifm' = ifm and 0 <= img < nImg and ofm_tile >= 0 and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 16ifm_tile <= -16 + nIfm and 0 <= oj < ofh and oj < 2pad_h + ifhp - kj and 0 <= oi < ofw and oi < 2pad_w + ifwp - ki and 0 <= ofm <= 15 and 0 <= ifm <= 15 and ofm_tile' > ofm_tile and 16ofm_tile' <= -16 + nOfm and kj' >= 0 and -ofh + kj + oj < kj' <= kj + oj and kj' < kh and ki' >= 0 and -ofw + ki + oi < ki' <= ki + oi and ki' < kw and 0 <= ofm' <= 15 }	251906	968704
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and ifm_tile' = ifm_tile and ofm' = ofm and ifm' = ifm and 0 <= img < nImg and ofm_tile >= 0 and 16ofm_tile <= -16 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 16ifm_tile <= -16 + nIfm and oj >= 0 and 0 <= oi < ofw and 0 <= ofm <= 15 and 0 <= ifm <= 15 and oj < oj' < ofh and 0 <= oi' < ofw }	2050	98816
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and oj' = oj and oi' = oi and ofm' = ofm and 0 <= img < nImg and ofm_tile >= 0 and 16ofm_tile <= -16 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 0 <= oj < ofh and oj < ofhp and 0 <= oi < ofw and oi < ofwp and 0 <= ofm <= 15 and 0 <= ifm <= 15 and ifm_tile' > ifm_tile and 16ifm_tile' <= -16 + nIfm and 0 <= ifm' <= 15 }	100610	201472
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and ifm_tile' = ifm_tile and oj' = oj and ofm' = ofm and ifm' = ifm and 0 <= img < nImg and ofm_tile >= 0 and 16ofm_tile <= -16 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 16ifm_tile <= -16 + nIfm and 0 <= oj < ofh and oi >= 0 and 0 <= ofm <= 15 and 0 <= ifm <= 15 and oi < oi' < ofw }	290	2016
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and ifm_tile' = ifm_tile and oj' = oj and oi' = oi and ofm' = ofm and 0 <= img < nImg and ofm_tile >= 0 and 16ofm_tile <= -16 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 16ifm_tile <= -16 + nIfm and 0 <= oj < ofh and oj < ofhp and 0 <= oi < ofw and oi < ofwp and 0 <= ofm <= 15 and ifm >= 0 and ifm < ifm' <= 15 }	5	31
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and ifm_tile' = ifm_tile and oj' = oj and oi' = oi and ifm' = ifm and 0 <= img < nImg and ofm_tile >= 0 and 16ofm_tile <= -16 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 16ifm_tile <= -16 + nIfm and 0 <= oj < ofh and oj < 2pad_h + ifhp - kj and 0 <= oi < ofw and oi < 2pad_w + ifwp - ki and ofm >= 0 and 0 <= ifm <= 15 and ofm < ofm' <= 15 }	35	271
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and oj' = oj and oi' = oi and ofm' = ofm and 0 <= img < nImg and ofm_tile >= 0 and 16ofm_tile <= -16 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 0 <= oj < ofh and oj < ofhp and 0 <= oi < ofw and oi < ofwp and 0 <= ofm <= 15 and 0 <= ifm <= 15 and ifm_tile' > ifm_tile and 16ifm_tile' <= -16 + nIfm and 0 <= ifm' <= 15 }	100610	201472
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_9[img, ofm_tile, kj, ki, ifm_tile, oj, oi, ofm, ifm] -> S_9[img', ofm_tile', kj', ki', ifm_tile', oj', oi', ofm', ifm'] : img' = img and ofm_tile' = ofm_tile and kj' = kj and ki' = ki and ifm_tile' = ifm_tile and oj' = oj and oi' = oi and ofm' = ofm and 0 <= img < nImg and ofm_tile >= 0 and 16ofm_tile <= -16 + nOfm and 0 <= kj < kh and 0 <= ki < kw and ifm_tile >= 0 and 16ifm_tile <= -16 + nIfm and 0 <= oj < ofh and oj < ofhp and 0 <= oi < ofw and oi < ofwp and 0 <= ofm <= 15 and ifm >= 0 and ifm < ifm' <= 15 }	5	31

