ActualRank,PolyRank,GFLOPS,Version
1,43,88.699,0_28_7_4_256
2,42,88.563,0_28_7_1_256
3,54,88.472,0_28_7_4_4
4,55,88.446,0_28_7_16_256
5,56,88.429,0_28_7_4_16
6,53,88.374,0_28_7_16_4
7,52,88.35,0_28_7_64_64
8,51,88.337,0_28_7_1_64
9,50,88.311,0_28_7_1_4
10,49,88.305,0_28_7_64_16
11,48,88.251,0_28_7_64_256
12,47,88.241,0_28_7_64_4
13,46,88.048,0_28_7_16_16
14,45,88.023,0_28_7_4_64
15,82,88.008,3
16,81,87.922,5
17,131,87.78,0_28_28_4_256
18,44,87.658,0_28_7_16_64
19,123,87.636,0_28_28_4_4
20,134,87.577,0_28_28_64_4
21,59,87.545,0_7_7_1_64
22,89,87.526,1_28_7_1_4
23,60,87.52,0_7_7_1_16
24,88,87.516,1_28_7_16_4
25,112,87.494,1_28_28_1_64
26,63,87.485,0_7_7_64_64
27,73,87.451,1_28_28_64_4
28,67,87.449,0_7_7_64_16
29,137,87.442,0_28_28_16_256
30,65,87.433,0_7_7_4_256
31,136,87.412,0_28_28_64_64
32,57,87.403,0_7_7_16_64
33,115,87.402,1_28_28_64_16
34,127,87.388,0_28_28_16_4
35,66,87.381,0_7_7_64_4
36,70,87.345,0_7_7_16_256
37,87,87.336,1_28_7_4_4
38,33,87.334,1_28_7_64_16
39,76,87.332,1_28_28_1_4
40,130,87.32,0_28_28_1_64
41,30,87.3,1_28_7_64_64
42,68,87.297,0_7_7_16_4
44,31,87.295,1_28_7_1_64
43,29,87.295,1_28_7_64_256
45,122,87.294,1_28_28_16_256
46,128,87.289,0_28_28_64_256
47,126,87.28,0_28_28_4_64
48,32,87.276,1_28_7_4_256
49,34,87.271,1_28_7_4_16
50,72,87.266,0_7_7_64_256
51,74,87.252,1_28_28_16_4
52,121,87.251,1_28_28_64_64
53,124,87.249,0_28_28_16_64
54,120,87.246,1_28_28_4_256
55,119,87.241,1_28_28_4_64
