ActualRank, GFlops, Version, wins, PolyRank,
84, 464.21, 10_31999_1024_84__512_512_16_32_64_16, 1, 41, 
85, 455.24, 10_31999_1024_84__512_512_64_64_32_64, 26, 25, 
86, 455.14, 10_31999_1024_84__512_128_64_64_64_16, 7, 35, 
87, 438.98, 10_31999_1024_84__512_128_16_64_64_16, 4, 38, 
88, 434.1, 10_31999_1024_84__512_512_64_32_32_16, 15, 29, 
89, 432.04, 10_31999_1024_84__512_128_16_32_32_16, 5, 37, 
90, 428.4, 10_31999_1024_84__512_128_64_64_32_16, 6, 36, 
91, 426.59, 10_31999_1024_84__512_128_64_32_32_32, 6, 36, 
92, 424.87, 10_31999_1024_84__512_32_16_64_32_16, 4, 38, 
93, 420.97, 10_31999_1024_84__512_32_16_32_32_16, 0, 42, 
94, 395.75, 10_31999_1024_84__512_128_16_64_32_16, 5, 37, 
95, 387.11, 10_31999_1024_84__512_32_64_32_32_16, 8, 34, 
96, 371.51, 10_31999_1024_84__512_128_64_32_64_16, 26, 25, 
97, 366.19, 10_31999_1024_84__512_128_64_32_32_16, 5, 37, 
98, 338.67, 10_31999_1024_84__512_512_16_32_32_16, 1, 41, 
99, 336.59, 10_31999_1024_84__512_512_16_64_64_16, 12, 32, 
100, 324.55, 10_31999_1024_84__512_512_16_64_32_16, 12, 32, 
