ActualRank, GFlops, Version, wins, PolyRank,
1, 470.36, 10_256_256_2048__8_128_128_8_64_64, 40, 45, 
2, 463.98, 10_256_256_2048__8_128_128_8_32_64, 98, 9, 
3, 461.12, 10_256_256_2048__8_128_32_8_64_32, 102, 6, 
4, 457.23, 10_256_256_2048__8_32_512_4_32_64, 78, 19, 
5, 455.77, 10_256_256_2048__8_128_512_4_32_64, 116, 5, 
6, 454.97, 10_256_256_2048__4_128_512_4_32_32, 62, 31, 
7, 454.37, 10_256_256_2048__4_32_128_4_32_64, 77, 20, 
8, 454.04, 10_256_256_2048__8_128_32_8_32_32, 86, 14, 
9, 451.91, 10_256_256_2048__4_128_512_4_32_64, 84, 15, 
10, 451.57, 10_256_256_2048__8_128_128_8_64_32, 98, 9, 
11, 450.07, 10_256_256_2048__8_128_512_8_64_64, 47, 40, 
12, 449.77, 10_256_256_2048__8_128_128_4_64_64, 60, 32, 
13, 446.95, 10_256_256_2048__8_128_128_8_32_32, 79, 18, 
14, 445.45, 10_256_256_2048__4_32_512_4_32_32, 62, 31, 
15, 443.11, 10_256_256_2048__8_32_512_4_32_32, 81, 17, 
16, 438.28, 10_256_256_2048__8_128_128_4_32_64, 101, 7, 
17, 437.79, 10_256_256_2048__8_128_128_4_64_32, 102, 6, 
18, 436.34, 10_256_256_2048__8_128_512_8_64_32, 123, 1, 
19, 435.96, 10_256_256_2048__4_32_128_4_32_32, 41, 44, 
20, 434.86, 10_256_256_2048__8_128_512_4_32_32, 118, 3, 
21, 433.86, 10_256_256_2048__8_128_32_4_64_32, 96, 11, 
22, 432.22, 10_256_256_2048__4_32_512_4_32_64, 77, 20, 
23, 424.67, 10_256_256_2048__8_128_128_4_32_32, 78, 19, 
24, 417.63, 10_256_256_2048__8_128_32_4_32_32, 79, 18, 
25, 416.93, 10_256_256_2048__4_32_32_4_32_32, 62, 31, 
26, 412.44, 10_256_256_2048__8_128_512_8_32_64, 122, 2, 
27, 406.32, 10_256_256_2048__8_128_512_8_32_32, 75, 21, 
28, 404.88, 10_256_256_2048__8_128_512_4_64_64, 55, 34, 
29, 402.85, 10_256_256_2048__8_128_512_4_64_32, 117, 4, 
30, 394.32, 10_256_256_2048__8_32_512_8_32_64, 97, 10, 
31, 391.13, 10_256_256_2048__8_32_128_8_32_64, 97, 10, 
32, 384.03, 10_256_256_2048__8_128_512_2_32_64, 101, 7, 
33, 380.76, 10_256_256_2048__8_32_512_8_32_32, 39, 46, 
34, 378.61, 10_256_256_2048__8_32_128_8_32_32, 69, 25, 
35, 373.51, 10_256_256_2048__8_128_128_2_64_64, 59, 33, 
36, 373.43, 10_256_256_2048__8_128_32_2_64_32, 86, 14, 
37, 373.2, 10_256_256_2048__8_32_32_8_32_32, 39, 46, 
38, 365.3, 10_256_256_2048__8_128_128_2_32_64, 95, 12, 
39, 364.38, 10_256_256_2048__4_128_128_4_64_64, 25, 57, 
40, 361.1, 10_256_256_2048__8_128_512_2_32_32, 89, 13, 
41, 360.53, 10_256_256_2048__4_128_32_4_64_32, 71, 24, 
42, 360.29, 10_256_256_2048__8_128_512_2_64_64, 55, 34, 
43, 360.28, 10_256_256_2048__4_128_512_4_64_64, 21, 60, 
44, 359.91, 10_256_256_2048__8_128_128_2_64_32, 96, 11, 
45, 358.07, 10_256_256_2048__4_128_128_4_32_64, 63, 30, 
46, 357.17, 10_256_256_2048__4_128_512_4_64_32, 84, 15, 
47, 356.87, 10_256_256_2048__4_128_128_4_64_32, 66, 27, 
48, 353.12, 10_256_256_2048__4_32_512_2_32_64, 67, 26, 
49, 348.93, 10_256_256_2048__8_128_128_2_32_32, 73, 22, 
50, 348.02, 10_256_256_2048__4_128_128_4_32_32, 42, 43, 
51, 346.85, 10_256_256_2048__8_128_32_2_32_32, 72, 23, 
52, 345.49, 10_256_256_2048__8_128_512_2_64_32, 100, 8, 
53, 345.46, 10_256_256_2048__8_32_512_2_32_64, 67, 26, 
54, 345.0, 10_256_256_2048__4_128_32_4_32_32, 50, 37, 
55, 339.36, 10_256_256_2048__4_128_512_2_32_64, 82, 16, 
56, 339.31, 10_256_256_2048__4_32_512_2_32_32, 52, 36, 
57, 332.73, 10_256_256_2048__8_32_512_2_32_32, 62, 31, 
58, 327.28, 10_256_256_2048__4_128_128_2_64_64, 36, 49, 
59, 325.39, 10_256_256_2048__4_128_512_2_32_32, 78, 19, 
60, 323.06, 10_256_256_2048__4_128_128_2_32_64, 72, 23, 
61, 322.26, 10_256_256_2048__4_128_32_2_64_32, 63, 30, 
62, 320.51, 10_256_256_2048__4_32_32_2_32_32, 12, 66, 
63, 319.63, 10_256_256_2048__8_32_128_4_32_64, 77, 20, 
64, 318.85, 10_256_256_2048__4_128_128_2_64_32, 73, 22, 
65, 315.04, 10_256_256_2048__4_128_512_2_64_64, 36, 49, 
