ActualRank, GFlops, Version, wins, PolyRank,
66, 309.31, 10_256_256_2048__4_128_128_2_32_32, 49, 38, 
67, 307.99, 10_256_256_2048__2_128_512_2_32_64, 65, 28, 
68, 307.59, 10_256_256_2048__8_32_128_4_32_32, 46, 41, 
69, 306.39, 10_256_256_2048__8_128_32_1_64_32, 38, 47, 
70, 304.59, 10_256_256_2048__4_128_32_2_32_32, 49, 38, 
71, 303.1, 10_256_256_2048__8_32_32_4_32_32, 24, 58, 
72, 300.9, 10_256_256_2048__2_128_512_2_32_32, 37, 48, 
73, 300.58, 10_256_256_2048__2_32_512_2_32_64, 64, 29, 
74, 297.39, 10_256_256_2048__4_128_512_2_64_32, 79, 18, 
75, 294.01, 10_256_256_2048__2_32_512_2_32_32, 38, 47, 
76, 293.52, 10_256_256_2048__2_32_128_2_32_32, 26, 56, 
77, 293.3, 10_256_256_2048__2_32_128_2_32_64, 60, 32, 
78, 287.6, 10_256_256_2048__4_128_32_1_64_32, 25, 57, 
79, 275.41, 10_256_256_2048__2_32_32_2_32_32, 38, 47, 
80, 273.79, 10_256_256_2048__4_128_512_1_32_64, 30, 53, 
81, 273.0, 10_256_256_2048__4_128_512_1_32_32, 30, 53, 
82, 272.04, 10_256_256_2048__8_128_512_1_64_64, 55, 34, 
83, 272.01, 10_256_256_2048__8_32_32_2_32_32, 24, 58, 
84, 270.75, 10_256_256_2048__8_128_512_1_64_32, 49, 38, 
85, 268.85, 10_256_256_2048__8_32_512_1_32_64, 13, 65, 
86, 268.84, 10_256_256_2048__8_128_32_1_32_32, 38, 47, 
87, 267.11, 10_256_256_2048__8_32_128_2_32_64, 67, 26, 
88, 266.1, 10_256_256_2048__4_128_128_1_64_32, 32, 51, 
89, 265.92, 10_256_256_2048__8_128_512_1_32_32, 41, 44, 
90, 262.78, 10_256_256_2048__8_32_128_2_32_32, 32, 51, 
91, 262.41, 10_256_256_2048__4_128_32_1_32_32, 25, 57, 
92, 261.69, 10_256_256_2048__4_128_512_1_64_64, 34, 50, 
93, 261.33, 10_256_256_2048__8_128_128_1_64_32, 55, 34, 
94, 261.27, 10_256_256_2048__8_128_128_1_64_64, 53, 35, 
95, 260.75, 10_256_256_2048__4_128_128_1_64_64, 32, 51, 
96, 257.0, 10_256_256_2048__4_128_128_1_32_32, 32, 51, 
97, 256.49, 10_256_256_2048__4_32_512_1_32_64, 12, 66, 
98, 256.09, 10_256_256_2048__4_32_512_1_32_32, 8, 70, 
99, 255.35, 10_256_256_2048__4_128_512_1_64_32, 30, 53, 
100, 255.11, 10_256_256_2048__4_128_128_1_32_64, 31, 52, 
101, 254.69, 10_256_256_2048__8_128_128_1_32_64, 47, 40, 
102, 254.52, 10_256_256_2048__8_128_128_1_32_32, 48, 39, 
103, 253.11, 10_256_256_2048__8_32_512_1_32_32, 18, 62, 
104, 248.41, 10_256_256_2048__4_32_128_2_32_64, 64, 29, 
105, 246.09, 10_256_256_2048__2_128_512_2_64_64, 10, 68, 
106, 245.51, 10_256_256_2048__2_128_128_2_64_64, 15, 64, 
107, 244.87, 10_256_256_2048__8_128_512_1_32_64, 46, 41, 
108, 240.69, 10_256_256_2048__2_128_128_2_32_32, 23, 59, 
109, 239.44, 10_256_256_2048__2_128_512_2_64_32, 63, 30, 
110, 238.26, 10_256_256_2048__2_128_128_2_32_64, 42, 43, 
111, 237.75, 10_256_256_2048__2_128_128_2_64_32, 43, 42, 
112, 235.78, 10_256_256_2048__2_128_32_2_64_32, 52, 36, 
113, 235.47, 10_256_256_2048__2_32_32_1_32_32, 38, 47, 
114, 234.73, 10_256_256_2048__2_128_32_2_32_32, 31, 52, 
115, 230.32, 10_256_256_2048__4_32_128_2_32_32, 32, 51, 
116, 228.52, 10_256_256_2048__2_32_512_1_32_32, 8, 70, 
117, 224.02, 10_256_256_2048__2_128_512_1_32_64, 19, 61, 
118, 223.59, 10_256_256_2048__2_32_512_1_32_64, 11, 67, 
119, 218.69, 10_256_256_2048__8_32_32_1_32_32, 39, 46, 
120, 216.73, 10_256_256_2048__2_128_512_1_32_32, 28, 55, 
121, 214.36, 10_256_256_2048__2_128_32_1_64_32, 19, 61, 
122, 209.18, 10_256_256_2048__2_128_128_1_64_32, 26, 56, 
123, 208.13, 10_256_256_2048__2_128_128_1_64_64, 25, 57, 
124, 206.1, 10_256_256_2048__2_128_128_1_32_32, 25, 57, 
125, 205.55, 10_256_256_2048__2_128_512_1_64_32, 24, 58, 
126, 204.72, 10_256_256_2048__2_128_128_1_32_64, 23, 59, 
127, 204.6, 10_256_256_2048__4_32_32_1_32_32, 62, 31, 
128, 204.22, 10_256_256_2048__2_128_32_1_32_32, 19, 61, 
129, 203.98, 10_256_256_2048__8_32_128_1_32_64, 12, 66, 
130, 203.62, 10_256_256_2048__8_32_128_1_32_32, 17, 63, 
131, 202.66, 10_256_256_2048__2_128_512_1_64_64, 29, 54, 
132, 190.39, 10_256_256_2048__4_32_128_1_32_64, 11, 67, 
133, 185.52, 10_256_256_2048__4_32_128_1_32_32, 12, 66, 
134, 168.36, 10_256_256_2048__1_128_512_1_32_64, 6, 71, 
135, 167.07, 10_256_256_2048__1_32_128_1_32_64, 6, 71, 
136, 165.13, 10_256_256_2048__1_128_512_1_32_32, 6, 71, 
137, 164.37, 10_256_256_2048__1_32_512_1_32_64, 6, 71, 
138, 162.05, 10_256_256_2048__1_32_512_1_32_32, 6, 71, 
139, 161.89, 10_256_256_2048__2_32_128_1_32_64, 6, 71, 
140, 160.21, 10_256_256_2048__1_32_128_1_32_32, 6, 71, 
141, 152.65, 10_256_256_2048__1_32_32_1_32_32, 6, 71, 
142, 152.08, 10_256_256_2048__2_32_128_1_32_32, 6, 71, 
143, 140.6, 10_256_256_2048__1_128_128_1_32_64, 0, 72, 
144, 139.94, 10_256_256_2048__1_128_128_1_64_64, 0, 72, 
145, 139.32, 10_256_256_2048__1_128_128_1_64_32, 9, 69, 
146, 137.45, 10_256_256_2048__1_128_512_1_64_64, 0, 72, 
147, 135.76, 10_256_256_2048__1_128_128_1_32_32, 0, 72, 
148, 135.12, 10_256_256_2048__1_128_32_1_64_32, 0, 72, 
149, 133.56, 10_256_256_2048__1_128_512_1_64_32, 6, 71, 
150, 133.04, 10_256_256_2048__1_128_32_1_32_32, 0, 72, 
