ActualRank, GFlops, Version, wins, PolyRank,
1, 599.78, 10_84_1024_4096__32_32_128_16_32_64, 16, 8, 
2, 598.58, 10_84_1024_4096__32_32_128_32_32_64, 17, 7, 
3, 592.2, 10_84_1024_4096__32_32_512_32_32_64, 17, 7, 
4, 590.47, 10_84_1024_4096__32_16_128_32_16_64, 37, 1, 
5, 589.73, 10_84_1024_4096__32_16_512_32_16_64, 37, 1, 
6, 557.13, 10_84_1024_4096__32_16_128_16_16_64, 30, 3, 
7, 541.77, 10_84_1024_4096__32_16_512_32_16_32, 37, 1, 
8, 540.26, 10_84_1024_4096__32_16_128_32_16_32, 23, 5, 
9, 536.75, 10_84_1024_4096__32_32_512_16_32_64, 17, 7, 
10, 535.86, 10_84_1024_4096__32_16_32_32_16_32, 37, 1, 
11, 531.96, 10_84_1024_4096__32_16_128_16_16_32, 33, 2, 
12, 529.91, 10_84_1024_4096__32_16_32_16_16_32, 33, 2, 
13, 521.03, 10_84_1024_4096__16_32_512_16_32_64, 7, 14, 
14, 518.7, 10_84_1024_4096__32_32_128_32_32_32, 17, 7, 
15, 518.24, 10_84_1024_4096__32_32_512_32_32_32, 17, 7, 
16, 517.76, 10_84_1024_4096__32_16_512_16_16_64, 30, 3, 
17, 512.35, 10_84_1024_4096__16_32_128_16_32_64, 7, 14, 
18, 508.44, 10_84_1024_4096__32_32_512_16_32_32, 11, 12, 
19, 506.14, 10_84_1024_4096__32_32_128_16_32_32, 13, 10, 
20, 505.66, 10_84_1024_4096__32_32_32_32_32_32, 17, 7, 
21, 504.07, 10_84_1024_4096__16_16_128_16_16_64, 15, 9, 
22, 499.18, 10_84_1024_4096__16_32_512_16_32_32, 3, 17, 
23, 496.77, 10_84_1024_4096__32_32_32_16_32_32, 0, 18, 
24, 496.33, 10_84_1024_4096__16_16_512_16_16_64, 21, 6, 
25, 481.14, 10_84_1024_4096__16_32_128_16_32_32, 3, 17, 
26, 479.58, 10_84_1024_4096__32_16_512_16_16_32, 29, 4, 
27, 474.6, 10_84_1024_4096__16_32_32_16_32_32, 3, 17, 
28, 469.01, 10_84_1024_4096__32_32_128_32_16_64, 5, 15, 
29, 466.09, 10_84_1024_4096__32_32_512_32_16_64, 4, 16, 
30, 458.17, 10_84_1024_4096__16_16_512_16_16_32, 4, 16, 
31, 455.19, 10_84_1024_4096__16_16_128_16_16_32, 12, 11, 
32, 452.43, 10_84_1024_4096__32_32_128_16_16_64, 16, 8, 
33, 444.4, 10_84_1024_4096__16_16_32_16_16_32, 4, 16, 
34, 428.35, 10_84_1024_4096__32_32_128_32_16_32, 7, 14, 
35, 426.34, 10_84_1024_4096__32_32_512_32_16_32, 5, 15, 
36, 420.09, 10_84_1024_4096__32_32_32_32_16_32, 7, 14, 
37, 402.39, 10_84_1024_4096__32_32_32_16_16_32, 0, 18, 
38, 398.84, 10_84_1024_4096__32_32_512_16_16_64, 17, 7, 
39, 397.75, 10_84_1024_4096__16_32_512_16_16_64, 10, 13, 
40, 396.0, 10_84_1024_4096__32_32_128_16_16_32, 13, 10, 
41, 390.51, 10_84_1024_4096__16_32_128_16_16_64, 7, 14, 
42, 384.4, 10_84_1024_4096__32_32_512_16_16_32, 5, 15, 
43, 373.58, 10_84_1024_4096__16_32_32_16_16_32, 3, 17, 
44, 368.42, 10_84_1024_4096__16_32_128_16_16_32, 3, 17, 
45, 365.31, 10_84_1024_4096__16_32_512_16_16_32, 3, 17, 
