ActualRank, GFlops, Version, wins, PolyRank,
1, 1408.32, 10_1632_36548_1024__512_128_512_64_64_64, 123, 1, 
2, 1407.39, 10_1632_36548_1024__512_128_512_32_64_64, 110, 9, 
3, 1399.12, 10_1632_36548_1024__512_32_512_32_32_64, 69, 23, 
4, 1384.01, 10_1632_36548_1024__512_128_128_64_64_64, 114, 5, 
5, 1380.23, 10_1632_36548_1024__512_128_128_32_64_64, 113, 6, 
6, 1364.81, 10_1632_36548_1024__512_128_512_64_32_64, 117, 3, 
7, 1363.57, 10_1632_36548_1024__128_128_128_64_64_64, 109, 10, 
8, 1353.86, 10_1632_36548_1024__128_128_128_32_64_64, 109, 10, 
9, 1347.81, 10_1632_36548_1024__512_128_128_32_32_64, 75, 18, 
10, 1339.35, 10_1632_36548_1024__128_32_128_64_32_64, 113, 6, 
11, 1338.62, 10_1632_36548_1024__128_32_512_32_32_64, 74, 19, 
12, 1337.64, 10_1632_36548_1024__512_128_128_64_32_64, 109, 10, 
13, 1335.27, 10_1632_36548_1024__512_128_512_32_32_64, 75, 18, 
14, 1332.11, 10_1632_36548_1024__128_32_512_64_32_64, 112, 7, 
15, 1322.97, 10_1632_36548_1024__512_32_512_64_32_64, 98, 16, 
16, 1318.0, 10_1632_36548_1024__128_128_512_64_64_64, 109, 10, 
17, 1312.55, 10_1632_36548_1024__128_128_128_32_32_64, 66, 26, 
18, 1311.7, 10_1632_36548_1024__128_128_128_64_32_64, 106, 12, 
19, 1308.68, 10_1632_36548_1024__512_128_128_64_64_32, 110, 9, 
20, 1307.26, 10_1632_36548_1024__128_128_512_64_32_64, 100, 14, 
21, 1307.2, 10_1632_36548_1024__512_128_512_64_64_32, 122, 2, 
22, 1305.17, 10_1632_36548_1024__128_32_128_32_32_64, 74, 19, 
23, 1304.1, 10_1632_36548_1024__512_32_512_32_32_32, 69, 23, 
24, 1304.08, 10_1632_36548_1024__512_128_512_32_64_32, 75, 18, 
25, 1297.1, 10_1632_36548_1024__512_128_128_32_64_32, 75, 18, 
26, 1287.8, 10_1632_36548_1024__128_128_512_32_64_64, 111, 8, 
27, 1269.75, 10_1632_36548_1024__512_512_512_64_64_64, 72, 20, 
28, 1269.68, 10_1632_36548_1024__128_128_128_64_64_32, 106, 12, 
29, 1263.25, 10_1632_36548_1024__128_128_512_32_32_64, 64, 27, 
30, 1257.63, 10_1632_36548_1024__128_128_128_32_64_32, 66, 26, 
31, 1255.24, 10_1632_36548_1024__512_128_512_64_32_32, 74, 19, 
32, 1248.43, 10_1632_36548_1024__128_128_32_64_64_32, 99, 15, 
33, 1246.47, 10_1632_36548_1024__512_512_128_32_32_64, 56, 33, 
34, 1244.73, 10_1632_36548_1024__128_128_512_64_64_32, 104, 13, 
35, 1244.07, 10_1632_36548_1024__512_128_128_32_32_32, 75, 18, 
36, 1238.58, 10_1632_36548_1024__128_128_32_32_64_32, 58, 32, 
37, 1237.45, 10_1632_36548_1024__512_128_32_64_64_32, 108, 11, 
38, 1232.55, 10_1632_36548_1024__512_128_128_64_32_32, 59, 31, 
39, 1231.9, 10_1632_36548_1024__512_128_32_32_64_32, 75, 18, 
40, 1229.13, 10_1632_36548_1024__128_32_512_64_32_32, 67, 25, 
41, 1222.9, 10_1632_36548_1024__128_32_512_32_32_32, 74, 19, 
42, 1222.5, 10_1632_36548_1024__512_512_128_32_64_32, 56, 33, 
43, 1221.96, 10_1632_36548_1024__512_32_128_32_32_64, 79, 17, 
44, 1219.51, 10_1632_36548_1024__512_32_128_64_32_64, 115, 4, 
45, 1217.01, 10_1632_36548_1024__512_32_512_64_32_32, 53, 36, 
46, 1215.52, 10_1632_36548_1024__128_128_512_32_64_32, 63, 28, 
47, 1214.01, 10_1632_36548_1024__512_512_512_32_64_64, 72, 20, 
48, 1210.29, 10_1632_36548_1024__512_128_512_32_32_32, 75, 18, 
49, 1201.33, 10_1632_36548_1024__512_512_512_64_32_64, 68, 24, 
50, 1199.05, 10_1632_36548_1024__128_32_128_64_32_32, 69, 23, 
51, 1195.75, 10_1632_36548_1024__128_128_512_64_32_32, 56, 33, 
52, 1190.72, 10_1632_36548_1024__128_128_128_64_32_32, 60, 30, 
53, 1188.31, 10_1632_36548_1024__512_512_128_64_64_64, 54, 35, 
54, 1187.53, 10_1632_36548_1024__512_512_128_32_64_64, 54, 35, 
55, 1184.91, 10_1632_36548_1024__128_32_128_32_32_32, 74, 19, 
56, 1179.19, 10_1632_36548_1024__128_32_32_32_32_32, 75, 18, 
57, 1174.25, 10_1632_36548_1024__128_32_32_64_32_32, 69, 23, 
58, 1171.8, 10_1632_36548_1024__512_32_128_64_32_32, 62, 29, 
59, 1169.97, 10_1632_36548_1024__128_128_128_32_32_32, 66, 26, 
60, 1162.12, 10_1632_36548_1024__128_512_128_64_64_64, 51, 37, 
61, 1160.91, 10_1632_36548_1024__128_128_512_32_32_32, 63, 28, 
62, 1159.1, 10_1632_36548_1024__128_128_32_64_32_32, 54, 35, 
63, 1150.58, 10_1632_36548_1024__512_512_512_32_64_32, 53, 36, 
64, 1150.05, 10_1632_36548_1024__128_512_128_32_64_64, 49, 38, 
65, 1145.45, 10_1632_36548_1024__128_512_128_64_32_64, 49, 38, 
66, 1144.78, 10_1632_36548_1024__128_128_32_32_32_32, 58, 32, 
67, 1144.34, 10_1632_36548_1024__512_512_128_64_32_64, 54, 35, 
68, 1137.71, 10_1632_36548_1024__512_512_128_32_32_32, 56, 33, 
69, 1133.87, 10_1632_36548_1024__512_32_128_32_32_32, 79, 17, 
70, 1132.68, 10_1632_36548_1024__512_128_32_32_32_32, 75, 18, 
71, 1130.0, 10_1632_36548_1024__512_128_32_64_32_32, 55, 34, 
72, 1128.19, 10_1632_36548_1024__128_512_512_64_64_64, 45, 40, 
73, 1124.21, 10_1632_36548_1024__128_512_128_32_32_64, 40, 43, 
74, 1104.67, 10_1632_36548_1024__512_512_512_64_64_32, 71, 21, 
75, 1103.24, 10_1632_36548_1024__128_512_512_64_32_64, 43, 42, 
