ActualRank, GFlops, Version, wins, PolyRank,
1, 949.62, 10_320_3072_4096__128_32_128_32_32_64, 7, 3, 
2, 936.1, 10_320_3072_4096__128_32_128_64_32_64, 8, 2, 
3, 920.03, 10_320_3072_4096__128_32_512_64_32_64, 11, 1, 
4, 918.88, 10_320_3072_4096__32_32_512_32_32_64, 0, 5, 
5, 891.78, 10_320_3072_4096__128_32_512_64_32_32, 8, 2, 
6, 871.08, 10_320_3072_4096__128_32_128_32_32_32, 7, 3, 
7, 869.56, 10_320_3072_4096__128_32_128_64_32_32, 5, 4, 
8, 868.51, 10_320_3072_4096__128_32_512_32_32_32, 11, 1, 
9, 842.74, 10_320_3072_4096__32_32_128_32_32_32, 0, 5, 
10, 841.14, 10_320_3072_4096__128_32_512_32_32_64, 11, 1, 
11, 745.94, 10_320_3072_4096__32_32_128_32_32_64, 0, 5, 
12, 712.93, 10_320_3072_4096__32_32_512_32_32_32, 0, 5, 
13, 709.99, 10_320_3072_4096__128_32_32_32_32_32, 5, 4, 
14, 687.67, 10_320_3072_4096__32_32_32_32_32_32, 0, 5, 
15, 584.37, 10_320_3072_4096__128_32_32_64_32_32, 0, 5, 
