ActualRank, GFlops, Version, wins, PolyRank,
1, 920.12, 10_128_2048_4096__128_64_128_64_64_64, 42, 5, 
2, 856.53, 10_128_2048_4096__128_64_128_32_64_64, 42, 5, 
3, 812.06, 10_128_2048_4096__128_64_512_64_64_64, 46, 2, 
4, 765.71, 10_128_2048_4096__128_16_512_64_16_64, 3, 23, 
5, 746.83, 10_128_2048_4096__128_64_512_64_64_32, 45, 3, 
6, 729.36, 10_128_2048_4096__128_16_128_64_16_64, 2, 24, 
7, 724.38, 10_128_2048_4096__32_64_512_32_64_64, 59, 1, 
8, 696.6, 10_128_2048_4096__128_64_512_64_32_64, 44, 4, 
9, 690.27, 10_128_2048_4096__32_16_128_32_16_64, 37, 7, 
10, 689.77, 10_128_2048_4096__128_64_512_32_64_64, 46, 2, 
11, 681.88, 10_128_2048_4096__128_64_32_32_32_32, 8, 20, 
12, 679.51, 10_128_2048_4096__128_16_128_32_16_64, 16, 14, 
13, 677.08, 10_128_2048_4096__128_64_128_64_32_64, 42, 5, 
14, 667.57, 10_128_2048_4096__128_16_512_32_16_64, 30, 9, 
15, 663.44, 10_128_2048_4096__128_64_128_64_32_32, 13, 17, 
16, 660.27, 10_128_2048_4096__32_16_512_32_16_32, 40, 6, 
17, 655.01, 10_128_2048_4096__128_64_512_64_32_32, 11, 19, 
18, 651.28, 10_128_2048_4096__128_64_128_64_64_32, 42, 5, 
19, 650.89, 10_128_2048_4096__32_16_128_32_16_32, 45, 3, 
20, 647.28, 10_128_2048_4096__128_64_128_32_32_64, 4, 22, 
21, 644.62, 10_128_2048_4096__128_64_32_64_64_32, 36, 8, 
22, 642.17, 10_128_2048_4096__32_16_512_32_16_64, 37, 7, 
23, 631.98, 10_128_2048_4096__32_64_128_32_32_64, 1, 25, 
24, 630.29, 10_128_2048_4096__32_16_32_32_16_32, 40, 6, 
25, 629.06, 10_128_2048_4096__128_64_32_32_64_32, 8, 20, 
26, 626.55, 10_128_2048_4096__32_64_32_32_64_32, 1, 25, 
27, 622.56, 10_128_2048_4096__128_64_512_32_32_64, 2, 24, 
28, 612.24, 10_128_2048_4096__128_16_128_32_16_32, 0, 26, 
29, 610.9, 10_128_2048_4096__128_64_128_32_64_32, 5, 21, 
30, 606.09, 10_128_2048_4096__32_64_32_32_32_32, 1, 25, 
31, 605.52, 10_128_2048_4096__128_64_512_32_64_32, 2, 24, 
32, 602.25, 10_128_2048_4096__128_16_32_64_16_32, 0, 26, 
33, 596.09, 10_128_2048_4096__32_64_128_32_64_64, 20, 11, 
34, 592.94, 10_128_2048_4096__128_64_32_64_32_32, 12, 18, 
35, 591.7, 10_128_2048_4096__128_64_128_32_32_32, 5, 21, 
36, 583.85, 10_128_2048_4096__32_64_128_32_64_32, 1, 25, 
37, 581.06, 10_128_2048_4096__32_64_512_32_64_32, 13, 17, 
38, 563.76, 10_128_2048_4096__32_64_512_32_32_64, 15, 15, 
39, 553.06, 10_128_2048_4096__32_64_128_32_32_32, 1, 25, 
40, 552.4, 10_128_2048_4096__128_16_512_32_16_32, 30, 9, 
41, 550.31, 10_128_2048_4096__128_16_128_64_16_32, 0, 26, 
42, 540.54, 10_128_2048_4096__128_64_512_32_32_32, 2, 24, 
43, 531.98, 10_128_2048_4096__32_64_512_32_32_32, 15, 15, 
44, 502.35, 10_128_2048_4096__32_64_128_32_16_64, 0, 26, 
45, 498.29, 10_128_2048_4096__128_64_128_64_16_64, 4, 22, 
46, 497.61, 10_128_2048_4096__128_64_128_32_16_64, 22, 10, 
47, 495.92, 10_128_2048_4096__128_64_512_64_16_64, 2, 24, 
48, 473.27, 10_128_2048_4096__128_16_512_64_16_32, 4, 22, 
49, 469.63, 10_128_2048_4096__32_64_512_32_16_64, 11, 19, 
50, 455.09, 10_128_2048_4096__32_64_512_32_16_32, 11, 19, 
51, 441.26, 10_128_2048_4096__128_64_32_64_16_32, 0, 26, 
52, 435.36, 10_128_2048_4096__128_64_512_32_16_64, 17, 13, 
53, 433.68, 10_128_2048_4096__32_64_32_32_16_32, 0, 26, 
54, 432.26, 10_128_2048_4096__128_64_128_64_16_32, 1, 25, 
55, 426.91, 10_128_2048_4096__128_16_32_32_16_32, 0, 26, 
56, 426.23, 10_128_2048_4096__128_64_512_32_16_32, 19, 12, 
57, 423.24, 10_128_2048_4096__128_64_512_64_16_32, 2, 24, 
58, 404.86, 10_128_2048_4096__128_64_128_32_16_32, 1, 25, 
59, 400.17, 10_128_2048_4096__32_64_128_32_16_32, 4, 22, 
60, 363.58, 10_128_2048_4096__128_64_32_32_16_32, 14, 16, 
