ActualRank, GFlops, Version, wins, PolyRank,
1, 20.1, 10_2048_1_128__16_1_128_16_1_32, 1, 1, 
2, 19.65, 10_2048_1_128__16_1_32_16_1_32, 1, 1, 
3, 18.39, 10_2048_1_128__16_1_128_16_1_64, 0, 2, 
