ActualRank, GFlops, Version, wins, PolyRank,
1, 528.35, 10_2048_4096_32__512_32_32_64_32_32, 8, 5, 
2, 526.85, 10_2048_4096_32__128_32_32_64_32_32, 8, 5, 
3, 515.94, 10_2048_4096_32__32_32_32_32_32_32, 20, 1, 
4, 495.56, 10_2048_4096_32__128_32_32_32_32_32, 9, 4, 
5, 483.12, 10_2048_4096_32__512_128_32_32_64_32, 7, 6, 
6, 481.86, 10_2048_4096_32__512_128_32_32_32_32, 7, 6, 
7, 468.25, 10_2048_4096_32__128_64_32_64_64_32, 16, 2, 
8, 461.14, 10_2048_4096_32__512_64_32_64_64_32, 5, 8, 
9, 455.84, 10_2048_4096_32__128_64_32_32_64_32, 8, 5, 
10, 451.03, 10_2048_4096_32__512_32_32_32_32_32, 9, 4, 
11, 439.04, 10_2048_4096_32__512_64_32_32_64_32, 7, 6, 
12, 437.56, 10_2048_4096_32__128_128_32_32_32_32, 7, 6, 
13, 435.19, 10_2048_4096_32__128_64_32_32_32_32, 8, 5, 
14, 411.49, 10_2048_4096_32__128_128_32_32_64_32, 7, 6, 
15, 407.17, 10_2048_4096_32__512_64_32_64_32_32, 6, 7, 
16, 403.13, 10_2048_4096_32__32_64_32_32_64_32, 0, 10, 
17, 396.68, 10_2048_4096_32__512_64_32_32_32_32, 7, 6, 
18, 395.3, 10_2048_4096_32__32_64_32_32_32_32, 0, 10, 
19, 378.22, 10_2048_4096_32__32_128_32_32_64_32, 0, 10, 
20, 371.58, 10_2048_4096_32__128_64_32_64_32_32, 8, 5, 
21, 368.59, 10_2048_4096_32__512_128_32_64_32_32, 1, 9, 
22, 366.94, 10_2048_4096_32__128_128_32_64_64_32, 11, 3, 
23, 363.24, 10_2048_4096_32__512_128_32_64_64_32, 1, 9, 
24, 331.45, 10_2048_4096_32__128_128_32_64_32_32, 7, 6, 
25, 323.01, 10_2048_4096_32__32_128_32_32_32_32, 0, 10, 
