ActualRank,PolyRank,GFLOPS,Version,wins
1,50,104.95,3,0
2,13,104.04,0_7_7_4_64,0
3,2,103.76,0_7_7_1_4,0
4,14,103.74,0_7_7_4_4,0
5,15,103.69,0_7_7_4_16,0
6,16,103.65,0_7_7_4_256,0
7,3,103.51,0_7_7_1_64,0
8,4,103.39,0_7_7_1_16,0
9,5,103.26,0_7_7_1_256,0
10,6,102.91,4,0
11,7,102.81,2,0
12,19,102.5,0_7_7_256_4,0
13,17,102.48,0_7_7_64_4,0
14,18,102.45,0_7_7_256_64,0
15,28,102.32,0_7_7_16_64,0
16,27,102.32,0_7_7_64_16,0
17,26,102.3,0_7_7_16_4,0
18,25,102.28,0_7_7_256_256,0
19,24,102.22,0_7_7_16_256,0
20,23,102.08,0_7_7_256_16,0
21,22,102,0_7_7_64_64,0
22,21,101.94,0_7_7_16_16,0
23,20,101.87,0_7_7_64_256,0
24,1,101.82,5,0
25,12,101.58,0_7_7_4_1,0
26,11,101.55,0_7_7_64_1,0
27,10,101.4,0_7_7_16_1,0
28,8,101.15,0_7_7_1_1,0
29,9,101.08,0_7_7_256_1,0
30,43,99.42,1_7_7_64_64,0
31,46,99.369,1_7_7_256_16,0
32,34,99.306,1_7_7_16_256,0
33,36,99.277,1_7_7_16_16,0
34,31,99.259,1_7_7_64_4,0
35,33,99.225,1_7_7_256_4,0
36,48,99.188,1_7_7_256_256,0
37,47,99.132,1_7_7_256_64,0
38,29,98.948,1_7_7_16_4,0
39,45,98.821,1_7_7_64_16,0
40,35,98.771,1_7_7_16_64,0
41,44,98.757,1_7_7_64_256,0
42,30,98.627,1_7_7_4_4,0
43,39,98.599,1_7_7_4_64,0
44,40,98.563,1_7_7_1_64,0
45,42,98.475,1_7_7_1_256,0
46,41,98.192,1_7_7_1_16,0
47,38,98.162,1_7_7_4_256,0
48,37,98.156,1_7_7_4_16,0
49,32,98.085,1_7_7_1_4,0
50,52,94.696,1_7_7_64_1,0
51,53,93.928,1_7_7_256_1,0
52,51,93.352,1_7_7_4_1,0
53,49,93.319,1_7_7_16_1,0
54,54,92.985,1_7_7_1_1,0

