ActualRank,PolyRank,GFLOPS,Version,wins
1,2,99.359,4,0
2,1,99.122,2,0
3,3,98.153,0_7_7_1_1,0
4,4,97.68,0_7_7_64_1,0
5,8,97.615,0_7_7_4_1,0
6,5,97.564,0_7_7_256_1,0
7,6,97.552,0_7_7_16_1,0
8,18,97.336,0_7_7_1_4,0
9,19,96.412,0_7_7_4_4,0
10,22,95.59,0_7_7_64_4,0
11,21,95.54,0_7_7_16_4,0
12,20,95.439,0_7_7_256_4,0
13,40,92.982,0_7_7_256_16,0
14,45,92.961,0_7_7_256_64,0
15,44,92.933,0_7_7_64_1024,0
16,43,92.91,0_7_7_16_16,0
17,42,92.91,0_7_7_64_16,0
18,39,92.843,0_7_7_256_1024,0
19,34,92.842,0_7_7_64_256,0
20,36,92.84,0_7_7_64_64,0
21,37,92.762,0_7_7_256_256,0
22,38,92.721,0_7_7_16_64,0
23,35,92.689,0_7_7_16_256,0
24,41,92.64,0_7_7_16_1024,0
25,13,92.284,1_7_7_16_4,0
26,17,91.986,1_7_7_64_4,0
27,16,91.819,1_7_7_256_4,0
28,46,91.567,0_7_7_4_256,0
29,47,91.395,0_7_7_4_64,0
30,48,91.324,0_7_7_4_1024,0
31,49,91.262,0_7_7_4_16,0
32,14,91.173,1_7_7_4_4,0
33,15,90.918,1_7_7_1_4,0
34,23,89.96,0_7_7_1_1024,0
35,24,89.688,0_7_7_1_64,0
36,25,89.616,0_7_7_1_256,0
37,26,89.45,0_7_7_1_16,0
38,7,89.399,1_7_7_16_1,0
39,11,89.174,1_7_7_256_1,0
40,12,88.962,1_7_7_64_1,0
41,10,88.825,1_7_7_1_1,0
42,9,88.588,1_7_7_4_1,0
43,32,72.929,5,0
44,33,70.82,3,0
45,27,52.348,1_7_7_16_16,0
46,50,52.225,1_7_7_16_1024,0
47,51,52.215,1_7_7_16_256,0
48,64,52.194,1_7_7_64_1024,0
49,63,52.174,1_7_7_64_64,0
50,62,52.031,1_7_7_256_64,0
51,29,51.979,1_7_7_64_16,0
52,61,51.889,1_7_7_64_256,0
53,59,51.877,1_7_7_256_256,0
54,30,51.872,1_7_7_256_16,0
55,56,51.812,1_7_7_256_1024,0
56,31,51.742,1_7_7_1_16,0
57,57,51.717,1_7_7_1_1024,0
58,58,51.64,1_7_7_1_256,0
59,52,51.585,1_7_7_16_64,0
60,60,51.583,1_7_7_1_64,0
61,55,51.55,1_7_7_4_64,0
62,54,51.512,1_7_7_4_256,0
63,28,51.48,1_7_7_4_16,0
64,53,51.465,1_7_7_4_1024,0

