ActualRank,PolyRank,GFLOPS,Version,wins
1,22,2647.6,1_28_7_4_1,0
2,13,2644.6,1_28_28_64_1,0
3,16,2635.7,1_28_28_256_1,0
4,12,2635.6,1_28_28_4_1,0
5,23,2634.1,1_28_7_16_1,0
6,15,2629,1_28_28_16_1,0
7,14,2627.7,1_28_28_1_1,0
8,96,2622.1,0_28_7_256_1,0
9,24,2618.9,1_28_7_256_1,0
10,99,2616.5,0_28_7_16_1,0
11,25,2615.8,1_28_7_1_1,0
12,160,2609.8,0_28_7_256_4,0
13,98,2609.5,0_28_7_64_1,0
14,76,2606,1_28_28_4_4,0
15,158,2605.9,0_28_7_4_4,0
16,127,2605.7,4,0
17,104,2604.5,1_28_7_4_4,0
18,26,2603.8,1_28_7_64_1,0
19,79,2603.3,1_28_28_16_4,0
20,105,2602.6,1_28_7_16_4,0
21,77,2602,1_28_28_256_4,0
22,159,2601.5,0_28_7_16_4,0
23,106,2600.3,1_28_7_1_4,0
24,157,2599.9,0_28_7_64_4,0
25,80,2599.2,1_28_28_64_4,0
26,107,2598.7,1_28_7_64_4,0
27,150,2598.3,0_28_7_1_1,0
28,124,2596.6,0_28_28_256_64,0
30,50,2594.1,0_28_7_256_16,0
29,49,2594.1,0_28_7_16_256,0
31,191,2594,0_28_28_256_4,0
32,108,2593.7,1_28_7_256_4,0
33,192,2593.6,0_28_28_64_4,0
34,123,2592.6,0_28_28_64_256,0
35,122,2591.8,0_28_28_256_256,0
36,97,2591.5,0_28_7_4_1,0
37,121,2590.9,0_28_28_256_1,0
38,51,2587.5,0_28_7_64_256,0
39,52,2587.2,0_28_7_256_64,0
40,110,2587.1,0_28_28_16_16,0
41,53,2586,0_28_7_64_16,0
42,120,2584.9,0_28_28_64_1,0
43,128,2584.7,0_7_28_16_256,0
44,119,2584.4,0_28_28_4_16,0
45,112,2584,0_28_28_4_1,0
46,48,2583.9,0_28_7_4_256,0
47,44,2583.1,0_28_7_4_64,0
48,42,2581.5,0_28_7_256_256,0
49,43,2581.3,0_28_7_64_64,0
51,103,2580.3,0_7_7_16_1,0
50,189,2580.3,0_28_28_4_4,0
52,114,2579.8,0_28_28_256_16,0
53,115,2579.7,0_28_28_16_256,0
54,130,2579.2,0_7_28_256_64,0
55,163,2578.8,0_7_7_16_4,0
56,131,2578.7,0_7_28_256_256,0
57,100,2577.7,0_7_7_256_1,0
58,195,2577.6,0_7_28_256_4,0
59,117,2577.5,0_28_28_64_64,0
60,118,2577,2,0
61,162,2576.5,0_7_7_64_4,0
62,144,2575.2,0_7_28_64_16,0
63,116,2575,0_28_28_4_64,0
64,78,2574.6,1_28_28_1_4,0
65,113,2574.5,0_28_28_1_1,0
66,140,2574,0_7_28_4_256,0
67,111,2573.8,0_28_28_4_256,0
68,47,2573.1,0_28_7_16_64,0
69,109,2573,0_28_28_64_16,0
70,190,2572.9,0_28_28_16_4,0
71,164,2572.4,0_7_7_256_4,0
72,137,2572.3,0_7_28_64_1,0
73,193,2571.7,0_7_28_16_4,0
74,136,2567.3,0_7_28_16_64,0
75,135,2567,0_7_28_16_16,0
76,45,2566.8,0_28_7_16_16,0
77,154,2566.6,1_28_7_256_16,0
78,46,2566.5,0_28_7_4_16,0
79,196,2566.5,0_7_28_64_4,0
80,65,2566.3,0_7_7_64_256,0
81,102,2564,0_7_7_64_1,0
82,133,2563.9,0_7_28_256_16,0
83,64,2562,0_7_7_16_64,0
84,134,2561.8,0_7_28_16_1,0
85,139,2561.3,0_7_28_4_64,0
86,126,2560.3,0_28_28_16_64,0
87,142,2560.3,0_7_28_64_256,0
88,143,2560,0_7_28_256_1,0
89,125,2558.9,0_28_28_16_1,0
90,101,2558.3,0_7_7_4_1,0
91,129,2558.2,0_7_28_4_16,0
92,55,2555.9,0_7_7_256_16,0
