ActualRank,PolyRank,GFLOPS,Version,wins
1,3,98.085,4,0
2,2,97.802,2,0
3,1,96.268,0_7_7_1_4,0
4,5,96.243,0_7_7_64_4,0
5,14,96.203,0_7_7_256_1,0
6,4,96.195,0_7_7_1_1,0
7,15,96.192,0_7_7_64_1,0
8,6,96.171,0_7_7_256_4,0
9,16,96.14,0_7_7_4_1,0
10,17,96.1,0_7_7_16_1,0
11,7,96.083,0_7_7_16_4,0
12,8,96.052,0_7_7_4_4,0
13,21,91.959,1_7_7_16_4,0
14,20,91.865,1_7_7_256_4,0
15,19,91.721,1_7_7_64_4,0
16,34,91.701,0_7_7_16_256,0
17,35,91.673,0_7_7_256_64,0
18,22,91.664,1_7_7_4_4,0
19,40,91.648,0_7_7_256_256,0
20,36,91.634,0_7_7_4_1024,0
21,39,91.611,0_7_7_64_1024,0
22,38,91.562,0_7_7_256_1024,0
23,41,91.516,0_7_7_16_1024,0
24,42,91.513,0_7_7_64_64,0
25,44,91.513,0_7_7_256_16,0
26,45,91.509,0_7_7_16_64,0
27,46,91.467,0_7_7_64_16,0
28,47,91.451,0_7_7_16_16,0
29,48,91.443,0_7_7_4_16,0
30,49,91.44,0_7_7_64_256,0
31,37,91.417,0_7_7_4_64,0
32,43,91.329,0_7_7_4_256,0
33,18,91.22,1_7_7_1_4,0
34,29,89.698,0_7_7_1_256,0
35,30,89.659,0_7_7_1_1024,0
36,31,89.654,0_7_7_1_64,0
37,28,89.596,0_7_7_1_16,0
38,12,85.83,1_7_7_256_1,0
39,11,85.793,1_7_7_16_1,0
40,10,85.791,1_7_7_64_1,0
41,13,85.676,1_7_7_4_1,0
42,9,85.571,1_7_7_1_1,0
43,33,76.771,3,0
44,32,73.268,5,0
45,64,65.547,1_7_7_4_64,0
46,61,65.521,1_7_7_16_64,0
47,60,65.492,1_7_7_256_1024,0
48,59,65.489,1_7_7_64_64,0
49,26,65.483,1_7_7_16_16,0
50,25,65.403,1_7_7_256_16,0
51,58,65.38,1_7_7_256_256,0
52,57,65.36,1_7_7_1_1024,0
53,56,65.352,1_7_7_64_1024,0
54,62,65.323,1_7_7_4_1024,0
55,24,65.322,1_7_7_64_16,0
56,23,65.271,1_7_7_1_16,0
57,27,65.265,1_7_7_4_16,0
58,54,65.252,1_7_7_1_64,0
59,53,65.118,1_7_7_64_256,0
60,63,64.845,1_7_7_4_256,0
61,52,64.793,1_7_7_1_256,0
62,51,64.783,1_7_7_16_1024,0
63,50,64.74,1_7_7_16_256,0
64,55,64.703,1_7_7_256_64,0

