ActualRank,PolyRank,GFLOPS,Version,wins
1,97,2438.8,0_7_28_16_64,0
2,96,2436.5,0_7_28_256_1,0
3,111,2426.4,0_7_28_4_4,0
4,110,2425.8,0_7_28_256_4,0
5,109,2421.7,0_7_28_4_64,0
6,103,2421.5,0_7_28_256_64,0
7,98,2420.4,0_7_28_4_1,0
8,99,2420,0_7_28_16_4,0
9,100,2419.5,0_7_28_256_16,0
10,101,2418.5,0_7_28_64_16,0
12,104,2415.5,0_7_28_64_4,0
11,102,2415.5,0_7_28_64_64,0
13,105,2413.9,0_7_28_16_16,0
14,106,2409.2,0_7_28_64_1,0
15,107,2408.7,0_7_28_4_16,0
16,108,2407.4,0_7_28_16_1,0
17,80,2368.9,0_28_28_4_4,0
18,85,2363.3,0_28_28_256_4,0
19,86,2361.2,0_28_28_16_16,0
20,87,2359.8,0_28_28_16_1,0
21,92,2359,0_28_28_64_64,0
22,93,2358.7,0_28_28_256_1,0
23,94,2356,0_28_28_4_1,0
24,95,2353,0_28_28_256_64,0
25,82,2352.8,0_28_28_4_16,0
26,79,2352.6,0_7_7_1_64,0
27,91,2349.7,0_28_28_16_64,0
28,90,2348.6,0_28_28_64_4,0
29,89,2347.8,0_28_28_256_16,0
30,88,2346.3,0_28_28_16_4,0
31,83,2344.9,0_28_28_4_64,0
32,71,2344,0_7_28_1_64,0
33,77,2343.1,0_7_7_1_16,0
34,70,2343,0_7_28_1_4,0
35,76,2342,0_7_7_1_4,0
36,69,2339.9,0_7_28_1_16,0
37,81,2336.9,0_28_28_64_16,0
38,78,2336.8,0_7_7_1_1,0
39,84,2333.2,0_28_28_64_1,0
40,68,2333.1,0_7_28_1_1,0
41,47,2327.3,0_7_7_256_64,0
42,44,2293.2,0_7_7_4_16,0
43,142,2290.3,5,0
44,43,2289.9,0_7_7_4_4,0
45,42,2288.9,0_7_7_64_64,0
46,32,2288.8,0_7_7_4_1,0
47,41,2285.5,0_7_7_16_1,0
49,16,2283.6,0_28_7_4_1,0
48,74,2283.6,0_28_7_1_4,0
50,143,2283.4,2,0
51,29,2283.1,0_28_7_64_64,0
52,40,2282.2,0_7_7_256_1,0
53,39,2281.5,0_7_7_64_16,0
54,38,2281.1,0_7_7_16_4,0
55,144,2277.1,4,0
56,37,2277,0_7_7_256_16,0
57,27,2277,0_28_7_16_1,0
58,72,2276.4,0_28_7_1_64,0
59,26,2276.3,0_28_7_64_1,0
60,34,2276.1,0_7_7_16_16,0
61,33,2275.8,0_7_7_4_64,0
62,151,2273.5,1_28_7_64_1,0
63,24,2272.7,0_28_7_256_4,0
64,131,2270.3,1_28_28_256_64,0
65,64,2267.3,0_28_28_1_4,0
66,65,2267.2,0_28_28_1_16,0
67,150,2267,1_28_7_4_1,0
68,35,2266.4,0_7_7_256_4,0
69,22,2265.8,0_28_7_4_16,0
70,21,2265.5,0_28_7_16_64,0
71,36,2265.2,0_7_7_16_64,0
73,128,2264.7,1_28_28_4_16,0
72,127,2264.7,1_28_28_4_4,0
75,20,2263.1,0_28_7_16_16,0
74,48,2263.1,1_28_7_4_64,0
77,52,2262.1,1_28_7_64_64,0
76,163,2262.1,1_28_28_256_1,0
78,133,2261.5,1_28_28_16_16,0
79,51,2261.4,1_28_7_64_16,0
80,61,2261.2,1_28_7_1_64,0
81,18,2260.7,0_28_7_16_4,0
82,75,2260.2,0_28_7_1_16,0
83,53,2260,1_28_7_1_4,0
84,136,2259.6,1_28_28_64_64,0
86,138,2259,1_28_28_256_16,0
85,63,2259,3,0
87,66,2258.2,0_28_28_1_1,0
88,153,2257.9,1_28_7_16_1,0
89,58,2257.1,1_28_7_1_16,0
90,135,2256.8,1_28_28_16_4,0
91,164,2255.6,1_28_28_64_1,0
92,46,2255.6,0_7_7_64_4,0
93,60,2255.5,1_28_7_16_64,0
94,23,2255.3,0_28_7_4_4,0
95,45,2254.7,0_7_7_64_1,0
96,160,2254.3,1_28_28_4_1,0
97,59,2254.1,1_28_7_16_4,0
98,154,2253.6,1_28_7_256_1,0
100,17,2253.4,0_28_7_4_64,0
99,134,2253.4,1_28_28_1_64,0
101,67,2253.1,0_28_28_1_64,0
102,139,2252.9,1_28_28_1_16,0
103,130,2252.6,1_28_28_64_16,0
104,141,2252.5,1_28_28_256_4,0
105,57,2252.4,1_28_7_64_4,0
106,55,2252.2,1_28_7_16_16,0
107,152,2252,1_28_7_1_1,0
108,54,2251.9,1_28_7_256_64,0
109,19,2251.5,0_28_7_64_16,0
110,73,2250.4,0_28_7_1_1,0
111,49,2249.9,1_28_7_4_16,0
112,56,2249.2,1_28_7_256_4,0
113,14,2248.5,1_7_7_4_4,0
114,50,2248.4,1_28_7_4_4,0
115,132,2247.9,1_28_28_16_64,0
116,25,2247.1,0_28_7_256_1,0
117,28,2246.7,0_28_7_64_4,0
118,129,2246.3,1_28_28_4_64,0
119,162,2246.1,1_28_28_16_1,0
120,30,2244.8,0_28_7_256_64,0
121,62,2244,1_28_7_256_16,0
122,13,2241.9,1_7_7_4_16,0
123,137,2241.1,1_28_28_64_4,0
124,161,2237.5,1_28_28_1_1,0
125,15,2237.3,1_7_7_4_64,0
126,12,2236.6,1_7_7_16_64,0
127,11,2236.4,1_7_7_64_16,0
128,10,2235.1,1_7_7_256_64,0
129,149,2234.9,1_7_7_4_1,0
130,140,2234.7,1_28_28_1_4,0
131,31,2234,0_28_7_256_16,0
132,155,2233.7,1_7_28_16_1,0
133,115,2233.7,1_7_28_256_4,0
