ActualRank,PolyRank,GFLOPS,Version,wins
1,4,85.378,4,0
2,22,85.052,2,0
3,21,84.751,0_7_7_64_64,0
4,20,84.739,0_7_7_256_256,0
5,19,84.703,0_7_7_256_64,0
6,18,84.696,0_7_7_16_64,0
7,41,84.693,0_7_7_1024_4,0
8,56,84.675,0_7_7_256_16,0
9,23,84.66,0_7_7_4_1,0
10,17,84.64,0_7_7_64_1,0
11,40,84.609,0_7_7_256_4,0
12,55,84.581,0_7_7_64_16,0
13,16,84.569,0_7_7_1024_1,0
14,39,84.554,0_7_7_64_4,0
15,54,84.553,0_7_7_1024_16,0
16,15,84.55,0_7_7_16_1024,0
17,14,84.54,0_7_7_256_1,0
18,53,84.534,0_7_7_16_16,0
19,13,84.527,0_7_7_1024_1024,0
20,38,84.524,0_7_7_16_4,0
21,12,84.522,0_7_7_16_1,0
22,11,84.518,0_7_7_16_256,0
23,10,84.487,0_7_7_64_1024,0
24,9,84.473,0_7_7_1024_256,0
25,8,84.406,0_7_7_256_1024,0
26,7,84.405,0_7_7_1024_64,0
27,37,84.386,0_7_7_4_4,0
28,42,84.342,0_7_7_1_4,0
29,5,84.29,0_7_7_64_256,0
30,6,84.147,0_7_7_1_1,0
31,52,83.585,0_7_7_1_16,0
32,57,83.284,0_7_7_4_16,0
33,51,82.577,0_7_7_4_256,0
34,50,82.523,0_7_7_4_1024,0
35,49,82.121,0_7_7_4_64,0
36,1,82.029,0_7_7_1_1024,0
37,2,82.021,0_7_7_1_256,0
38,3,81.647,0_7_7_1_64,0
39,26,80.392,1_7_7_256_1,0
40,24,80.103,1_7_7_16_1,0
41,27,80.006,1_7_7_64_1,0
42,28,79.934,1_7_7_1024_1,0
43,29,79.736,1_7_7_1_1,0
44,25,79.507,1_7_7_4_1,0
45,35,65.617,1_7_7_64_4,0
46,30,64.608,1_7_7_16_4,0
47,34,64.217,1_7_7_256_4,0
48,31,64.161,1_7_7_4_4,0
49,33,64.125,1_7_7_1_4,0
50,32,63.818,1_7_7_1024_4,0
51,64,53.069,3,0
52,58,52.882,1_7_7_16_64,0
53,76,52.786,1_7_7_1024_256,0
54,60,52.783,1_7_7_64_64,0
55,75,52.766,1_7_7_1024_1024,0
56,66,52.709,1_7_7_16_256,0
57,72,52.708,1_7_7_1_1024,0
58,68,52.653,1_7_7_4_256,0
59,43,52.614,1_7_7_16_16,0
60,67,52.605,1_7_7_4_1024,0
61,48,52.591,1_7_7_1_16,0
62,69,52.407,1_7_7_256_1024,0
63,45,52.331,1_7_7_256_16,0
64,63,52.254,1_7_7_1_64,0
65,70,52.247,1_7_7_1_256,0
66,71,52.174,1_7_7_256_256,0
67,59,52.159,1_7_7_4_64,0
68,46,52.123,1_7_7_1024_16,0
69,62,52.103,1_7_7_1024_64,0
70,61,52.09,1_7_7_256_64,0
71,73,52.083,1_7_7_64_256,0
72,65,52.054,1_7_7_16_1024,0
73,74,52.031,1_7_7_64_1024,0
74,47,51.991,1_7_7_64_16,0
75,44,51.795,1_7_7_4_16,0
76,36,50.811,5,0

