ActualRank,PolyRank,GFLOPS,Version,wins
1,7,2725.6,4,0
2,6,2716.5,2,0
3,8,2680.4,0_7_7_1_1,0
4,2,2671.2,0_7_7_256_4,0
5,3,2670.9,0_7_7_16_4,0
6,4,2670.6,0_7_7_4_4,0
7,9,2666.8,0_7_7_256_1,0
8,10,2663.9,0_7_7_64_1,0
9,11,2663.4,0_7_7_4_1,0
10,5,2663.3,0_7_7_64_4,0
11,12,2662.9,0_7_7_16_1,0
12,1,2648.7,0_7_7_1_4,0
13,39,2540.4,0_7_7_256_256,0
14,38,2540.4,0_7_7_256_64,0
15,37,2539.2,0_7_7_256_1024,0
17,36,2538.8,0_7_7_256_16,0
16,35,2538.8,0_7_7_64_256,0
19,42,2538.7,0_7_7_64_1024,0
18,41,2538.7,0_7_7_16_256,0
20,43,2538.5,0_7_7_64_64,0
22,45,2537.1,0_7_7_64_16,0
21,44,2537.1,0_7_7_4_1024,0
23,46,2536.6,0_7_7_4_64,0
24,47,2536.5,0_7_7_16_64,0
25,48,2536.4,0_7_7_16_16,0
26,49,2536.3,0_7_7_16_1024,0
27,40,2536.1,0_7_7_4_256,0
28,34,2534.5,0_7_7_4_16,0
29,27,2498.7,1_7_7_4_4,0
30,26,2497.7,1_7_7_16_4,0
31,25,2496.9,1_7_7_256_4,0
32,24,2496.3,1_7_7_64_4,0
33,23,2491.7,1_7_7_1_4,0
34,28,2462.7,0_7_7_1_1024,0
35,29,2461.2,0_7_7_1_16,0
36,30,2460.5,0_7_7_1_64,0
37,31,2457.9,0_7_7_1_256,0
38,21,2373.1,1_7_7_16_1,0
39,22,2371.9,1_7_7_4_1,0
40,20,2371.6,1_7_7_64_1,0
41,19,2367.9,1_7_7_256_1,0
42,18,2363.7,1_7_7_1_1,0
43,33,2204.9,3,0
44,32,2151.4,5,0
45,61,1977.4,1_7_7_64_256,0
46,60,1970.6,1_7_7_1_64,0
47,59,1969.8,1_7_7_64_1024,0
48,58,1958.9,1_7_7_256_64,0
49,62,1954.2,1_7_7_4_1024,0
50,17,1950.5,1_7_7_4_16,0
51,57,1947.6,1_7_7_256_256,0
52,56,1946.1,1_7_7_1_1024,0
53,14,1945.5,1_7_7_256_16,0
54,55,1945.2,1_7_7_16_256,0
55,54,1944.6,1_7_7_64_64,0
56,52,1937.2,1_7_7_256_1024,0
57,51,1936.4,1_7_7_16_1024,0
58,15,1936,1_7_7_1_16,0
59,50,1935.8,1_7_7_16_64,0
60,63,1935.5,1_7_7_4_256,0
61,13,1934.7,1_7_7_16_16,0
62,64,1933.8,1_7_7_4_64,0
63,16,1933.4,1_7_7_64_16,0
64,53,1925.3,1_7_7_1_256,0

