ActualRank,PolyRank,GFLOPS,Version,wins
1,7,2756.4,0_7_7_1_4,0
2,6,2755.4,0_7_7_1_64,0
3,8,2755.3,0_7_7_1_256,0
4,9,2754,0_7_7_1_16,0
5,2,2740.4,0_7_7_4_256,0
6,3,2739.6,0_7_7_4_16,0
7,4,2739.6,0_7_7_4_64,0
8,1,2733.2,0_7_7_4_4,0
9,16,2713.5,4,0
10,17,2702.7,2,0
11,18,2689.8,0_7_7_1_1,0
12,5,2659,5,0
13,19,2644.1,0_7_7_4_1,0
14,23,2625.1,0_7_7_1024_1,0
15,22,2624.6,0_7_7_256_1,0
16,21,2623.7,0_7_7_64_1,0
17,20,2622.9,0_7_7_16_1,0
18,33,2586.3,0_7_7_1024_64,0
19,34,2586.1,0_7_7_256_256,0
20,35,2585.7,0_7_7_1024_256,0
21,36,2585.6,0_7_7_64_256,0
22,37,2585.3,0_7_7_256_64,0
23,38,2585,0_7_7_256_4,0
24,39,2584.9,0_7_7_16_64,0
25,40,2584.6,0_7_7_64_4,0
26,46,2584.6,0_7_7_16_16,0
27,45,2584.5,0_7_7_16_4,0
28,43,2584.2,0_7_7_1024_16,0
29,42,2584,0_7_7_64_64,0
30,41,2583.6,0_7_7_64_16,0
31,32,2583.3,0_7_7_1024_4,0
32,44,2583.2,0_7_7_256_16,0
33,31,2583.1,0_7_7_16_256,0
34,10,2396.2,1_7_7_16_1,0
35,15,2394.4,1_7_7_1024_1,0
36,14,2393.9,1_7_7_64_1,0
37,13,2387.1,1_7_7_256_1,0
38,12,2385.4,1_7_7_1_1,0
39,11,2383,1_7_7_4_1,0
40,24,2271.8,3,0
41,64,2115.6,1_7_7_1024_256,0
42,63,2115,1_7_7_256_64,0
43,27,2114.9,1_7_7_1024_4,0
44,62,2114.4,1_7_7_1024_16,0
45,61,2112,1_7_7_1024_64,0
46,60,2112,1_7_7_256_16,0
47,47,2109.6,1_7_7_16_256,0
48,28,2107.1,1_7_7_64_4,0
49,59,2107.1,1_7_7_64_64,0
50,58,2105.1,1_7_7_64_256,0
51,48,2098.5,1_7_7_16_64,0
52,51,2098.2,1_7_7_4_64,0
53,29,2097.7,1_7_7_256_4,0
54,25,2080.3,1_7_7_16_4,0
55,30,2076.9,1_7_7_1_4,0
56,49,2076.4,1_7_7_16_16,0
57,57,2074.4,1_7_7_64_16,0
58,55,2070.4,1_7_7_256_256,0
59,26,2069.7,1_7_7_4_4,0
60,50,2057.3,1_7_7_4_16,0
61,53,2055.7,1_7_7_1_256,0
62,54,2055.3,1_7_7_1_16,0
63,52,2054.9,1_7_7_4_256,0
64,56,2054.8,1_7_7_1_64,0

