ActualRank,PolyRank,GFLOPS,Version,wins
1,2,2778.3,4,0
2,1,2765.8,2,0
3,3,2737.2,0_7_7_1_1,0
4,7,2724.1,0_7_7_4_1,0
5,4,2723.8,0_7_7_16_1,0
6,5,2723.7,0_7_7_256_1,0
7,6,2714.4,0_7_7_64_1,0
8,18,2696.4,0_7_7_1_4,0
9,19,2688.9,0_7_7_4_4,0
10,20,2669.5,0_7_7_256_4,0
11,21,2667.8,0_7_7_64_4,0
12,22,2665.8,0_7_7_16_4,0
13,41,2588.1,0_7_7_256_64,0
14,40,2584.5,0_7_7_16_256,0
15,39,2583.5,0_7_7_64_256,0
16,38,2583.4,0_7_7_256_256,0
17,37,2582.8,0_7_7_64_64,0
18,36,2581.1,0_7_7_256_1024,0
19,35,2578.1,0_7_7_64_1024,0
20,34,2577.2,0_7_7_64_16,0
21,42,2576.4,0_7_7_256_16,0
22,43,2575.6,0_7_7_16_64,0
23,44,2569.9,0_7_7_16_16,0
24,45,2568.9,0_7_7_16_1024,0
25,48,2542.2,0_7_7_4_256,0
26,47,2541.6,0_7_7_4_1024,0
27,49,2540,0_7_7_4_64,0
28,46,2539.7,0_7_7_4_16,0
29,8,2480.6,1_7_7_16_1,0
30,10,2478.2,1_7_7_64_1,0
31,12,2474.2,1_7_7_256_1,0
32,24,2472.8,0_7_7_1_256,0
33,23,2466.1,0_7_7_1_1024,0
34,11,2465,1_7_7_1_1,0
35,25,2463.1,0_7_7_1_64,0
36,9,2462.3,1_7_7_4_1,0
37,26,2453.1,0_7_7_1_16,0
38,17,2415,1_7_7_64_4,0
39,16,2407.7,1_7_7_256_4,0
40,14,2405.9,1_7_7_4_4,0
41,13,2405.9,1_7_7_16_4,0
42,15,2398.5,1_7_7_1_4,0
43,33,2225.4,3,0
44,32,2183.2,5,0
45,52,1602.7,1_7_7_16_1024,0
46,64,1602.3,1_7_7_64_256,0
47,63,1601.8,1_7_7_64_64,0
48,50,1601.7,1_7_7_16_64,0
49,62,1601.6,1_7_7_64_1024,0
50,61,1601.5,1_7_7_256_64,0
51,60,1601.2,1_7_7_256_1024,0
52,31,1600.6,1_7_7_64_16,0
53,51,1600.2,1_7_7_16_256,0
54,59,1599.8,1_7_7_256_256,0
55,30,1599.4,1_7_7_256_16,0
56,27,1597.4,1_7_7_16_16,0
57,55,1597.3,1_7_7_4_64,0
58,29,1596.1,1_7_7_1_16,0
59,57,1595.5,1_7_7_1_64,0
61,53,1595.2,1_7_7_4_256,0
60,54,1595.2,1_7_7_4_1024,0
62,56,1595,1_7_7_1_256,0
64,58,1594.6,1_7_7_1_1024,0
63,28,1594.6,1_7_7_4_16,0

