ActualRank,PolyRank,GFLOPS,Version,wins
1,62,103.73,0_7_28_1_64,0
2,60,103.66,0_7_28_1_4,0
3,61,103.6,0_7_28_1_16,0
4,54,103.02,0_7_7_1_16,0
5,55,102.97,0_7_7_1_4,0
6,18,102.7,1_28_28_64_16,0
7,57,102.7,0_28_28_1_64,0
8,14,102.66,1_28_28_64_64,0
9,7,102.64,1_28_7_256_16,0
10,58,102.62,0_28_28_1_4,0
11,51,102.51,0_28_7_1_64,0
12,6,102.49,1_28_7_64_16,0
13,15,102.47,1_28_28_256_16,0
14,59,102.43,0_28_28_1_16,0
17,56,102.4,0_7_7_1_64,0
15,155,102.4,1_28_28_16_4,0
16,154,102.4,1_28_28_64_4,0
19,40,102.39,1_28_28_16_16,0
18,50,102.39,3,0
20,52,102.38,0_28_7_1_4,0
22,19,102.38,1_28_28_1_16,0
21,152,102.38,1_28_28_1_4,0
23,115,102.36,1_28_7_16_4,0
24,53,102.34,0_28_7_1_16,0
26,41,102.34,1_28_28_16_64,0
25,151,102.34,1_28_28_4_4,0
27,3,102.33,1_28_7_256_64,0
28,112,102.32,1_28_7_256_4,0
29,11,102.32,5,0
31,153,102.3,1_28_28_256_4,0
30,4,102.3,1_28_7_64_64,0
32,10,102.29,1_28_7_16_64,0
33,1,102.29,1_28_7_4_16,0
34,5,102.28,1_28_7_1_16,0
36,114,102.24,1_28_7_64_4,0
35,113,102.24,1_28_7_1_4,0
37,17,102.23,1_28_28_1_64,0
38,16,102.19,1_28_28_256_64,0
39,2,102.17,1_28_7_4_64,0
40,8,102.16,1_28_7_1_64,0
41,12,102.13,1_28_28_4_64,0
42,13,102.09,1_28_28_4_16,0
43,111,102.08,1_28_7_4_4,0
44,30,101.13,0_7_7_64_16,0
45,29,101.08,0_7_7_64_64,0
46,31,101.06,0_7_7_16_64,0
47,32,101.01,0_7_7_64_4,0
48,33,101,0_7_7_256_16,0
49,34,100.98,0_7_7_16_4,0
50,35,100.91,0_7_7_256_4,0
51,36,100.89,0_7_7_256_64,0
52,37,100.86,0_7_7_16_16,0
54,138,100.83,0_7_28_64_4,0
53,137,100.83,0_7_28_64_16,0
55,146,100.83,0_7_28_16_1,0
56,139,100.76,0_7_28_64_1,0
57,140,100.68,0_7_28_1_1,0
58,22,100.65,0_28_7_16_16,0
59,143,100.64,0_7_28_16_64,0
60,24,100.61,0_28_7_256_16,0
62,145,100.6,0_7_28_16_4,0
61,144,100.6,0_7_28_64_64,0
64,136,100.57,0_7_28_256_16,0
63,147,100.57,0_7_28_256_1,0
65,148,100.57,0_7_28_256_64,0
66,164,100.56,0_7_28_4_1,0
67,150,100.55,0_7_7_1_1,0
68,21,100.54,0_28_7_256_4,0
70,142,100.52,0_7_28_16_16,0
69,20,100.52,0_28_7_256_64,0
71,23,100.5,0_28_7_64_4,0
72,25,100.48,0_28_7_64_64,0
73,28,100.43,0_28_7_64_16,0
74,27,100.42,0_28_7_16_4,0
75,141,100.38,0_7_28_256_4,0
76,26,100.34,0_28_7_16_64,0
77,9,100.01,1_28_7_16_16,0
78,135,99.986,0_28_28_16_16,0
79,122,99.746,0_28_28_256_1,0
80,110,99.58,0_7_7_16_1,0
81,134,99.522,0_28_28_64_4,0
82,133,99.499,0_28_28_64_16,0
83,132,99.466,2,0
84,131,99.448,0_28_28_256_16,0
85,130,99.442,4,0
86,163,99.439,0_28_28_4_1,0
87,129,99.435,0_28_28_16_1,0
88,109,99.431,0_7_7_64_1,0
90,127,99.412,0_28_28_64_1,0
89,128,99.412,0_28_28_64_64,0
91,126,99.357,0_28_28_256_64,0
92,108,99.355,0_7_7_256_1,0
93,121,99.337,0_28_28_16_4,0
94,123,99.31,0_28_28_16_64,0
95,124,99.26,0_28_28_1_1,0
