ActualRank,PolyRank,GFLOPS,Version,wins
1,4,85.391,4,0
2,1,84.993,0_7_7_4_256,0
3,2,84.981,0_7_7_4_64,0
4,20,84.846,2,0
5,24,84.8,0_7_7_1_256,0
6,25,84.717,0_7_7_1_16,0
7,22,84.71,0_7_7_64_16,0
9,44,84.691,0_7_7_16_4,0
8,21,84.691,0_7_7_16_1,0
10,43,84.686,0_7_7_64_4,0
11,42,84.683,0_7_7_256_4,0
12,19,84.675,0_7_7_64_64,0
13,18,84.674,0_7_7_1024_64,0
14,17,84.656,0_7_7_16_256,0
15,16,84.655,0_7_7_256_16,0
16,15,84.651,0_7_7_256_256,0
18,14,84.638,0_7_7_256_1,0
17,41,84.638,0_7_7_1024_4,0
19,13,84.637,0_7_7_64_1,0
20,12,84.627,0_7_7_256_64,0
21,11,84.613,0_7_7_16_64,0
22,23,84.597,0_7_7_1_64,0
23,26,84.592,0_7_7_4_1,0
24,3,84.56,0_7_7_4_16,0
25,10,84.528,0_7_7_1024_256,0
26,9,84.499,0_7_7_16_16,0
27,45,84.44,0_7_7_1_4,0
28,8,84.378,0_7_7_1024_1,0
29,40,84.377,0_7_7_4_4,0
30,7,84.363,0_7_7_1024_16,0
31,6,84.351,0_7_7_64_256,0
32,5,84.253,0_7_7_1_1,0
33,33,80.346,1_7_7_64_1,0
34,30,80.169,1_7_7_1024_1,0
35,31,80.166,1_7_7_256_1,0
36,28,80.158,1_7_7_16_1,0
37,32,79.925,1_7_7_1_1,0
38,29,79.764,1_7_7_4_1,0
39,27,74.536,5,0
40,35,65.618,1_7_7_4_4,0
41,36,64.892,1_7_7_1024_4,0
42,37,64.886,1_7_7_64_4,0
43,38,64.552,1_7_7_256_4,0
44,34,64.403,1_7_7_16_4,0
45,39,63.925,1_7_7_1_4,0
46,52,52.754,3,0
47,64,52.661,1_7_7_64_256,0
48,63,52.589,1_7_7_64_64,0
49,53,52.497,1_7_7_16_256,0
50,49,52.496,1_7_7_1024_16,0
51,58,52.492,1_7_7_1024_256,0
52,50,52.489,1_7_7_64_16,0
53,57,52.489,1_7_7_256_256,0
54,46,52.483,1_7_7_16_16,0
55,51,52.482,1_7_7_256_16,0
56,54,52.48,1_7_7_16_64,0
57,59,52.48,1_7_7_1024_64,0
58,60,52.478,1_7_7_256_64,0
59,61,52.353,1_7_7_1_256,0
60,62,52.332,1_7_7_1_64,0
61,48,52.316,1_7_7_1_16,0
62,47,52.296,1_7_7_4_16,0
63,55,52.281,1_7_7_4_64,0
64,56,52.254,1_7_7_4_256,0

