ActualRank,PolyRank,GFLOPS,Version,wins
1,10,84.815,4,0
2,23,84.181,2,0
3,5,84.004,0_7_7_4_4,0
4,2,83.99,0_7_7_16_4,0
5,22,83.979,0_7_7_64_64,0
6,42,83.973,0_7_7_16_16,0
7,43,83.972,0_7_7_64_16,0
8,1,83.951,0_7_7_1_4,0
9,21,83.941,0_7_7_64_1024,0
10,20,83.934,0_7_7_16_256,0
11,19,83.929,0_7_7_16_64,0
12,18,83.926,0_7_7_256_256,0
14,3,83.925,0_7_7_256_4,0
13,44,83.925,0_7_7_256_16,0
15,4,83.905,0_7_7_64_4,0
16,9,83.888,0_7_7_256_1,0
17,17,83.885,0_7_7_256_1024,0
18,16,83.845,0_7_7_16_1024,0
19,29,83.782,0_7_7_4_1,0
20,15,83.764,0_7_7_256_64,0
21,14,83.761,0_7_7_64_256,0
22,13,83.695,0_7_7_16_1,0
23,12,83.637,0_7_7_64_1,0
24,11,83.548,0_7_7_1_1,0
25,48,82.952,0_7_7_4_16,0
26,41,82.785,0_7_7_1_16,0
27,45,82.644,0_7_7_4_64,0
28,46,82.583,0_7_7_4_1024,0
29,47,82.516,0_7_7_4_256,0
30,6,82.031,0_7_7_1_1024,0
31,7,81.97,0_7_7_1_256,0
32,8,81.82,0_7_7_1_64,0
33,30,77.877,1_7_7_16_1,0
34,33,77.861,1_7_7_256_1,0
35,34,77.846,1_7_7_64_1,0
36,35,77.625,1_7_7_1_1,0
37,32,77.349,1_7_7_4_1,0
38,38,76.226,1_7_7_64_4,0
39,36,76.064,1_7_7_4_4,0
40,39,76.031,1_7_7_1_4,0
41,31,75.952,1_7_7_16_4,0
42,37,75.925,1_7_7_256_4,0
43,54,52.7,3,0
44,64,52.543,1_7_7_64_256,0
45,51,52.481,1_7_7_64_64,0
46,56,52.438,1_7_7_16_1024,0
47,55,52.436,1_7_7_16_256,0
48,27,52.428,1_7_7_64_16,0
49,63,52.415,1_7_7_64_1024,0
50,60,52.405,1_7_7_256_256,0
51,52,52.401,1_7_7_256_64,0
52,59,52.377,1_7_7_256_1024,0
53,57,52.342,1_7_7_4_1024,0
54,53,52.341,1_7_7_1_64,0
55,49,52.338,1_7_7_16_64,0
56,26,52.333,1_7_7_256_16,0
57,24,52.324,1_7_7_16_16,0
58,61,52.305,1_7_7_1_256,0
59,62,52.234,1_7_7_1_1024,0
60,28,52.221,1_7_7_1_16,0
61,58,52.206,1_7_7_4_256,0
62,50,52.201,1_7_7_4_64,0
63,25,52.135,1_7_7_4_16,0
64,40,50.915,5,0

