ActualRank,PolyRank,GFLOPS,Version,wins
1,11,102.42,3,0
3,169,102.29,1_28_28_16_16,0
2,68,102.29,1_28_7_16_256,0
4,1,102.28,1_28_28_4_256,0
8,71,102.26,1_28_7_1_64,0
5,4,102.26,1_28_28_256_256,0
7,6,102.26,1_28_28_64_64,0
6,168,102.26,1_28_28_256_16,0
9,167,102.25,1_28_28_1_16,0
10,165,102.24,1_28_28_4_16,0
11,156,102.22,1_28_7_64_16,0
12,152,102.19,1_28_7_4_16,0
13,67,102.19,1_28_7_4_256,0
14,9,102.18,1_28_28_16_256,0
17,8,102.18,1_28_28_1_256,0
16,166,102.18,1_28_28_64_16,0
15,155,102.18,1_28_7_1_16,0
18,70,102.16,1_28_7_1_256,0
19,154,102.09,1_28_7_256_16,0
20,72,102.06,1_28_7_256_256,0
21,7,101.98,1_28_28_64_256,0
22,66,101.97,1_28_7_4_64,0
23,153,101.96,1_28_7_16_16,0
24,5,101.95,1_28_28_256_64,0
25,3,101.93,1_28_28_1_64,0
26,73,101.89,1_28_7_256_64,0
27,10,101.88,1_28_28_16_64,0
28,69,101.88,1_28_7_64_256,0
29,74,101.86,1_28_7_64_64,0
30,2,101.85,1_28_28_4_64,0
31,75,101.79,1_28_7_16_64,0
32,95,100.4,1_28_7_256_4,0
33,78,100.33,1_28_28_64_4,0
34,80,100.13,1_28_28_16_4,0
35,94,100.1,1_28_7_4_4,0
36,76,100.09,1_28_28_4_4,0
37,79,100.07,1_28_28_256_4,0
38,98,100.06,1_28_7_64_4,0
39,97,99.981,1_28_7_1_4,0
40,96,99.928,1_28_7_16_4,0
41,77,99.905,1_28_28_1_4,0
42,126,99.501,0_7_28_16_256,0
43,127,99.499,0_7_28_256_64,0
44,203,99.415,0_7_28_4_4,0
45,129,99.309,0_7_28_4_256,0
46,130,99.282,0_7_28_64_256,0
47,131,99.213,0_7_28_256_256,0
48,132,99.159,0_7_28_16_16,0
49,204,99.115,0_7_28_256_4,0
50,118,99.097,0_7_28_4_16,0
51,134,99.019,0_7_28_4_64,0
52,12,98.983,1_28_28_4_1,0
53,160,98.983,0_28_7_256_4,0
54,99,98.947,4,0
55,100,98.934,0_28_28_16_1,0
56,157,98.918,0_28_7_4_4,0
57,15,98.906,1_28_28_16_1,0
58,158,98.889,0_28_7_64_4,0
59,159,98.779,0_28_7_16_4,0
60,117,98.773,0_28_28_64_256,0
61,164,98.765,0_7_7_4_4,0
62,111,98.759,2,0
63,110,98.751,0_28_28_4_64,0
64,163,98.71,0_7_7_64_4,0
65,109,98.705,0_28_28_1_1,0
66,162,98.701,0_7_7_256_4,0
67,121,98.67,0_7_28_256_16,0
68,107,98.651,0_28_28_64_64,0
69,104,98.645,0_28_28_256_1,0
70,196,98.642,0_28_28_4_4,0
71,105,98.639,0_28_28_16_256,0
72,119,98.638,0_7_28_256_1,0
73,106,98.603,0_28_28_16_64,0
74,201,98.595,0_7_28_64_4,0
75,93,98.579,0_7_7_16_1,0
76,120,98.578,0_7_28_64_16,0
77,161,98.578,0_7_7_16_4,0
78,122,98.525,0_7_28_1_1,0
79,200,98.523,0_7_28_16_4,0
80,123,98.506,0_7_28_16_1,0
81,108,98.499,0_28_28_256_256,0
82,23,98.497,1_28_7_1_1,0
83,124,98.471,0_7_28_64_1,0
84,26,98.418,1_28_7_16_1,0
85,125,98.412,0_7_28_16_64,0
86,128,98.41,0_7_28_64_64,0
87,13,98.405,1_28_28_1_1,0
88,198,98.384,0_28_28_64_4,0
