ActualRank,PolyRank,GFLOPS,Version,wins
1,99,2971.2,0_28_7_64_4,0
2,91,2970.8,0_28_7_4_64,0
3,92,2970.6,0_28_7_16_64,0
4,93,2970.5,0_28_7_64_16,0
5,53,2970.1,1_28_7_4_4,0
6,94,2969.8,0_28_7_4_16,0
7,52,2969.6,1_28_7_64_4,0
8,95,2969.5,0_28_7_4_4,0
10,2,2969.3,1_28_28_16_4,0
9,82,2969.3,1_28_28_64_64,0
12,109,2969.2,1_28_7_64_64,0
11,87,2969.2,1_28_28_4_16,0
14,3,2969.1,1_28_28_64_4,0
15,110,2969.1,1_28_7_16_64,0
13,96,2969.1,0_28_7_16_4,0
16,1,2969,1_28_28_1_4,0
18,97,2969,0_28_7_64_64,0
17,83,2969,1_28_28_16_16,0
19,81,2968.8,1_28_28_64_16,0
22,4,2968.7,1_28_28_4_4,0
20,84,2968.7,1_28_28_1_16,0
21,85,2968.7,1_28_28_1_64,0
23,111,2968.6,1_28_7_64_16,0
24,86,2968.5,1_28_28_16_64,0
25,88,2968.5,1_28_28_4_64,0
26,112,2968.4,1_28_7_16_16,0
27,115,2968.4,1_28_7_4_16,0
28,113,2968.4,1_28_7_1_64,0
29,51,2968.3,1_28_7_16_4,0
30,114,2968.2,1_28_7_1_16,0
31,50,2967.4,1_28_7_1_4,0
32,98,2967,0_28_7_16_16,0
33,116,2966.6,1_28_7_4_64,0
34,39,2954.3,0_28_7_1_64,0
35,40,2952.9,0_28_7_1_16,0
36,5,2952.4,0_28_28_1_4,0
37,41,2952.4,0_28_7_1_4,0
38,6,2951.2,0_28_28_1_64,0
39,7,2948.5,0_28_28_1_16,0
40,67,2946.5,1_28_28_4_1,0
41,66,2945.4,1_28_28_64_1,0
42,72,2943.7,1_28_7_64_1,0
43,65,2943.3,1_28_28_16_1,0
44,73,2943,1_28_7_16_1,0
45,9,2941.8,0_28_28_4_1,0
46,74,2940.9,1_28_7_1_1,0
47,10,2940.6,0_28_28_16_16,0
48,64,2940.5,1_28_28_1_1,0
49,11,2940.5,2,0
50,12,2940.5,0_28_28_4_64,0
51,13,2940.1,0_28_28_64_4,0
52,14,2940,0_28_28_64_16,0
53,15,2940,0_28_28_64_64,0
54,16,2939.9,0_28_28_1_1,0
55,17,2939.8,0_28_28_4_4,0
56,18,2939.7,0_28_28_16_1,0
57,75,2939.6,1_28_7_4_1,0
58,19,2939.4,0_28_28_16_64,0
59,20,2939.2,0_28_28_16_4,0
60,21,2939,0_28_28_4_16,0
61,8,2938.9,0_28_28_64_1,0
62,38,2938.4,0_28_7_1_1,0
64,46,2937.3,0_28_7_64_1,0
63,47,2937.3,0_28_7_4_1,0
65,45,2936.4,0_28_7_16_1,0
66,89,2926.4,4,0
67,90,2920.7,3,0
68,79,2901,5,0
70,42,2830.8,1_7_28_1_4,0
69,126,2830.8,1_7_7_1_16,0
71,62,2830,1_7_7_1_4,0
72,120,2830,1_7_28_1_16,0
73,121,2829.3,1_7_28_1_64,0
74,43,2828.8,1_7_28_64_4,0
75,122,2827.1,1_7_28_64_64,0
76,124,2826.4,1_7_28_4_16,0
77,101,2825.8,0_7_7_64_4,0
78,44,2825.7,1_7_28_16_4,0
79,130,2825.6,1_7_7_64_16,0
80,102,2825.3,0_7_7_16_64,0
81,125,2825,1_7_7_16_64,0
82,48,2825,1_7_28_4_4,0
83,123,2824.9,1_7_28_4_64,0
84,117,2824.8,1_7_28_16_64,0
85,63,2824.7,1_7_7_4_4,0
86,103,2824.6,0_7_7_4_16,0
88,108,2824.5,0_7_7_4_4,0
87,106,2824.5,0_7_7_64_64,0
89,104,2824.4,0_7_7_16_4,0
90,105,2824.3,0_7_7_64_16,0
92,100,2823.8,0_7_7_4_64,0
91,61,2823.8,1_7_7_16_4,0
93,118,2823.5,1_7_28_64_16,0
94,132,2823.2,1_7_7_4_16,0
95,131,2823.1,1_7_7_4_64,0
96,128,2823.1,1_7_7_16_16,0
97,127,2821.9,1_7_7_1_64,0
98,119,2819.9,1_7_28_16_16,0
99,60,2819.6,1_7_7_64_4,0
100,107,2816.1,0_7_7_16_16,0
101,129,2812.7,1_7_7_64_64,0
102,68,2787.2,1_7_28_1_1,0
103,70,2782.2,1_7_28_16_1,0
104,76,2781.8,1_7_7_1_1,0
105,69,2780.7,1_7_28_64_1,0
106,78,2780.6,1_7_7_64_1,0
107,71,2780.2,1_7_28_4_1,0
108,80,2779.6,1_7_7_4_1,0
109,77,2779.1,1_7_7_16_1,0
110,59,2761.4,0_7_7_64_1,0
111,58,2761,0_7_7_16_1,0
112,56,2760.6,0_7_7_1_64,0
113,54,2759.6,0_7_7_1_16,0
114,57,2759.2,0_7_7_4_1,0
115,55,2758.7,0_7_7_1_4,0
116,22,2754.3,0_7_28_1_4,0
117,23,2754,0_7_28_1_64,0
118,24,2753.5,0_7_28_1_16,0
119,49,2736.8,0_7_7_1_1,0
120,26,2731.6,0_7_28_4_1,0
121,36,2728.5,0_7_28_1_1,0
122,27,2728.5,0_7_28_64_64,0
123,37,2728.2,0_7_28_16_16,0
124,35,2728,0_7_28_64_16,0
125,34,2727.8,0_7_28_4_4,0
126,33,2727.6,0_7_28_16_1,0
127,32,2727.4,0_7_28_64_4,0
128,31,2726.3,0_7_28_16_4,0
129,30,2726,0_7_28_4_64,0
130,29,2725.8,0_7_28_4_16,0
131,28,2725.7,0_7_28_16_64,0
132,25,2725.2,0_7_28_64_1,0

