ActualRank,PolyRank,GFLOPS,Version,wins
155,120,2251.6,1_7_7_1_4,0
156,117,2226.2,1_7_7_4_4,0
157,163,2224.9,1_7_28_64_4,0
158,76,2224.5,1_7_28_256_64,0
159,38,2221.8,1_7_7_64_16,0
160,32,2216.4,1_7_7_4_64,0
161,78,2206.5,1_7_28_64_16,0
162,72,2202,1_7_28_4_64,0
163,118,2158.2,1_7_7_64_4,0
164,29,2075.7,1_7_7_16_64,0

