ActualRank,PolyRank,GFLOPS,Version,wins
1,14,2884,0_7_7_4_16,0
2,13,2883,0_7_7_4_64,0
3,15,2882.3,0_7_7_4_256,0
4,16,2882.2,0_7_7_4_4,0
5,50,2879.9,3,0
6,2,2860.2,0_7_7_1_4,0
7,3,2860,0_7_7_1_16,0
8,4,2859.3,0_7_7_1_64,0
9,5,2858.8,0_7_7_1_256,0
10,6,2849.8,4,0
11,7,2843.5,2,0
12,19,2842.3,0_7_7_256_16,0
13,20,2840.7,0_7_7_256_256,0
14,18,2839.6,0_7_7_64_4,0
15,17,2839.5,0_7_7_64_256,0
16,27,2838.9,0_7_7_256_4,0
17,26,2838.5,0_7_7_16_4,0
18,25,2837.9,0_7_7_256_64,0
20,23,2836.6,0_7_7_64_16,0
19,24,2836.6,0_7_7_16_256,0
21,22,2836.5,0_7_7_16_16,0
22,28,2835.3,0_7_7_64_64,0
23,21,2833.7,0_7_7_16_64,0
24,8,2818.6,0_7_7_1_1,0
25,1,2801.2,5,0
26,11,2799.3,0_7_7_16_1,0
27,10,2798.7,0_7_7_256_1,0
28,9,2796,0_7_7_64_1,0
29,12,2777.1,0_7_7_4_1,0
30,32,2737.3,1_7_7_64_4,0
31,36,2736.1,1_7_7_16_64,0
32,34,2735.8,1_7_7_16_16,0
33,48,2735.5,1_7_7_64_16,0
34,40,2735.1,1_7_7_256_256,0
36,47,2734.3,1_7_7_64_64,0
35,29,2734.3,1_7_7_16_4,0
37,35,2734,1_7_7_16_256,0
38,33,2733.6,1_7_7_256_4,0
39,46,2732.9,1_7_7_256_16,0
40,45,2732.6,1_7_7_64_256,0
41,44,2732.2,1_7_7_256_64,0
42,43,2721.3,1_7_7_1_256,0
43,42,2718.2,1_7_7_1_16,0
44,31,2717.2,1_7_7_1_4,0
45,41,2716.5,1_7_7_1_64,0
46,38,2713.9,1_7_7_4_64,0
47,37,2712.8,1_7_7_4_16,0
48,30,2712.1,1_7_7_4_4,0
49,39,2711.3,1_7_7_4_256,0
50,52,2569.9,1_7_7_64_1,0
51,49,2561.6,1_7_7_16_1,0
52,53,2561.3,1_7_7_256_1,0
53,51,2547.7,1_7_7_4_1,0
54,54,2543.5,1_7_7_1_1,0

