ActualRank,PolyRank,GFLOPS,Version,wins
1,14,93.788,0_28_7_16_256,0
2,13,93.777,0_28_7_1_64,0
3,16,93.745,0_28_7_16_64,0
4,17,93.731,0_28_7_4_256,0
5,18,93.729,0_28_7_16_4,0
6,20,93.726,0_28_7_4_16,0
7,23,93.724,0_28_7_1_256,0
9,28,93.696,0_28_7_4_64,0
8,24,93.696,0_28_7_4_4,0
10,27,93.663,0_28_7_64_256,0
11,26,93.649,0_28_7_64_4,0
12,22,93.629,0_28_7_64_64,0
13,21,93.569,0_28_7_1_16,0
14,19,93.541,0_28_7_64_16,0
15,25,93.531,0_28_7_16_16,0
16,57,93.454,5,0
17,58,93.347,3,0
18,42,93.284,0_7_7_4_256,0
19,43,93.271,0_7_7_64_16,0
20,44,93.135,0_7_7_64_256,0
21,45,93.107,0_7_7_1_256,0
22,91,93.096,0_28_28_64_256,0
23,46,93.066,0_7_7_4_16,0
24,47,93.062,0_7_7_16_16,0
25,48,93.051,0_7_7_4_4,0
26,49,93.043,0_7_7_16_256,0
27,98,92.922,0_28_28_64_64,0
28,50,92.886,0_7_7_16_4,0
29,51,92.883,0_7_7_1_16,0
30,53,92.82,0_7_7_64_64,0
31,97,92.782,0_28_28_16_256,0
32,55,92.78,0_7_7_16_64,0
33,56,92.777,0_7_7_1_64,0
34,40,92.768,1_28_7_1_256,0
35,96,92.762,0_28_28_4_16,0
36,54,92.743,0_7_7_64_4,0
37,41,92.737,0_7_7_4_64,0
38,52,92.732,0_7_7_1_4,0
39,95,92.719,0_28_28_1_64,0
40,31,92.711,1_28_7_1_64,0
41,148,92.685,1_28_7_1_4,0
42,78,92.667,1_28_28_1_4,0
43,94,92.662,0_28_28_4_256,0
44,75,92.652,1_28_28_64_4,0
45,136,92.637,1_28_28_1_16,0
46,138,92.635,1_28_28_1_64,0
47,93,92.627,0_28_28_1_256,0
48,141,92.604,1_28_28_1_256,0
49,143,92.596,1_28_28_16_16,0
50,145,92.593,1_28_28_4_64,0
51,29,92.587,1_28_7_64_16,0
52,32,92.583,1_28_7_16_16,0
53,33,92.57,1_28_7_4_64,0
