0_7_7_1_1,2680.4,9,6,0,1,117544,875536,0,1936384,17144,731656,0,1936384
0_7_7_1_4,2648.7,9,8,0,1,117544,2185240,0,1589248,17144,987136,663560,1589248
0_7_7_1_16,2461.2,9,5,1,1,117544,2150408,1115144,1739776,17144,745984,688640,1739776
0_7_7_1_64,2460.5,9,5,1,1,117544,2150408,1115144,1739776,17144,745984,688640,1739776
0_7_7_1_256,2457.9,9,5,1,1,117544,2150408,1115144,1739776,17144,745984,688640,1739776
0_7_7_1_1024,2462.7,9,5,1,1,117544,2150408,1115144,1739776,17144,745984,688640,1739776
0_7_7_4_1,2663.4,9,6,0,1,117544,973840,0,1936384,17144,755720,0,1936384
0_7_7_4_4,2670.6,9,8,0,1,117544,2427928,0,1589248,17144,620544,1126408,1589248
0_7_7_4_16,2534.5,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_4_64,2536.6,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_4_256,2536.1,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_4_1024,2537.1,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_16_1,2662.9,9,6,0,1,117544,973840,0,1936384,17144,755720,0,1936384
0_7_7_16_4,2670.9,9,8,0,1,117544,2427928,0,1589248,17144,620544,1126408,1589248
0_7_7_16_16,2536.4,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_16_64,2536.5,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_16_256,2538.7,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_16_1024,2536.3,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_64_1,2663.9,9,6,0,1,117544,973840,0,1936384,17144,755720,0,1936384
0_7_7_64_4,2663.3,9,8,0,1,117544,2427928,0,1589248,17144,620544,1126408,1589248
0_7_7_64_16,2537.1,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_64_64,2538.5,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_64_256,2538.8,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_64_1024,2538.7,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_256_1,2666.8,9,6,0,1,117544,973840,0,1936384,17144,755720,0,1936384
0_7_7_256_4,2671.2,9,8,0,1,117544,2427928,0,1589248,17144,620544,1126408,1589248
0_7_7_256_16,2538.8,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_256_64,2540.4,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_256_256,2540.4,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
0_7_7_256_1024,2539.2,9,4,0,3,117544,466448,0,4560384,17144,439304,0,3010048
2,2716.5,7,4,0,1,81192,792592,0,1936384,17144,698888,0,1936384
3,2204.9,7,2,2,1,81192,146952,2171400,1980416,17144,169992,1051136,1980416
4,2725.6,7,4,0,1,81192,792592,0,1936384,17144,698888,0,1936384
5,2151.4,7,2,2,1,81192,626184,2169352,1739776,17144,649224,1054208,1739776
1_7_7_1_1,2363.7,11,4,0,1,108400,583432,0,2023168,25528,484424,0,2023168
1_7_7_1_4,2491.7,9,8,0,1,52784,1161552,0,1936384,25528,812616,0,1936384
1_7_7_1_16,1936,9,8,0,1,52784,3126864,0,1589248,25528,970304,1126408,1589248
1_7_7_1_64,1970.6,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
1_7_7_1_256,1925.3,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
1_7_7_1_1024,1946.1,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
1_7_7_4_1,2371.9,13,4,0,1,115192,583432,0,2023168,25976,484424,0,2023168
1_7_7_4_4,2498.7,11,8,0,1,59576,1161552,0,1936384,25976,812616,0,1936384
1_7_7_4_16,1950.5,11,8,0,1,59576,3126864,0,1589248,25976,970304,1126408,1589248
1_7_7_4_64,1933.8,11,0,4,3,59576,0,4356680,4579328,25976,24008,1067584,4113408
1_7_7_4_256,1935.5,11,0,4,3,59576,0,4356680,4579328,25976,24008,1067584,4113408
1_7_7_4_1024,1954.2,11,0,4,3,59576,0,4356680,4579328,25976,24008,1067584,4113408
1_7_7_16_1,2373.1,11,4,0,1,108400,583432,0,2023168,25528,484424,0,2023168
1_7_7_16_4,2497.7,9,8,0,1,52784,1161552,0,1936384,25528,812616,0,1936384
1_7_7_16_16,1934.7,9,8,0,1,52784,3126864,0,1589248,25528,970304,1126408,1589248
1_7_7_16_64,1935.8,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
1_7_7_16_256,1945.2,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
1_7_7_16_1024,1936.4,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
1_7_7_64_1,2371.6,11,4,0,1,108400,583432,0,2023168,25528,484424,0,2023168
1_7_7_64_4,2496.3,9,8,0,1,52784,1161552,0,1936384,25528,812616,0,1936384
1_7_7_64_16,1933.4,9,8,0,1,52784,3126864,0,1589248,25528,970304,1126408,1589248
1_7_7_64_64,1944.6,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
1_7_7_64_256,1977.4,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
1_7_7_64_1024,1969.8,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
1_7_7_256_1,2367.9,11,4,0,1,108400,583432,0,2023168,25528,484424,0,2023168
1_7_7_256_4,2496.9,9,8,0,1,52784,1161552,0,1936384,25528,812616,0,1936384
1_7_7_256_16,1945.5,9,8,0,1,52784,3126864,0,1589248,25528,970304,1126408,1589248
1_7_7_256_64,1958.9,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
1_7_7_256_256,1947.6,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
1_7_7_256_1024,1937.2,9,0,4,3,52784,0,4356680,4579328,25528,24008,1067584,4113408
