ActualRank,PolyRank,GFLOPS,Version,wins
1,4,106.64,1_28_28_4_4,0
2,114,106.54,1_28_7_64_16,0
3,91,106.53,0_28_7_4_4,0
4,85,106.52,1_28_28_64_16,0
5,92,106.5,0_28_7_4_16,0
6,53,106.48,1_28_7_4_4,0
7,95,106.47,0_28_7_16_4,0
8,50,106.46,1_28_7_16_4,0
10,86,106.46,1_28_28_16_16,0
9,116,106.46,1_28_7_4_16,0
11,88,106.45,1_28_28_4_64,0
12,111,106.45,1_28_7_1_64,0
13,109,106.45,1_28_7_16_16,0
17,97,106.44,0_28_7_64_16,0
14,87,106.44,1_28_28_4_16,0
19,96,106.44,0_28_7_16_16,0
15,98,106.44,0_28_7_16_64,0
16,99,106.44,0_28_7_64_4,0
18,51,106.44,1_28_7_1_4,0
21,52,106.42,1_28_7_64_4,0
20,82,106.42,1_28_28_1_64,0
22,110,106.41,1_28_7_64_64,0
23,3,106.4,1_28_28_16_4,0
24,112,106.39,1_28_7_16_64,0
25,83,106.39,1_28_28_1_16,0
26,81,106.36,1_28_28_64_64,0
27,1,106.34,1_28_28_64_4,0
28,94,106.29,0_28_7_4_64,0
29,84,106.26,1_28_28_16_64,0
30,2,106.23,1_28_28_1_4,0
31,115,106.22,1_28_7_4_64,0
32,40,106.22,0_28_7_1_64,0
33,93,106.21,0_28_7_64_64,0
34,113,106.11,1_28_7_1_16,0
35,5,106.05,0_28_28_1_64,0
37,67,105.87,1_28_28_4_1,0
36,6,105.87,0_28_28_1_4,0
38,9,105.86,0_28_28_4_64,0
39,7,105.83,0_28_28_1_16,0
40,64,105.8,1_28_28_1_1,0
41,65,105.77,1_28_28_16_1,0
42,41,105.76,0_28_7_1_4,0
43,10,105.71,0_28_28_64_4,0
44,72,105.7,1_28_7_64_1,0
45,75,105.68,1_28_7_4_1,0
46,11,105.67,0_28_28_4_16,0
47,8,105.66,0_28_28_16_64,0
48,66,105.65,1_28_28_64_1,0
49,12,105.64,0_28_28_64_1,0
50,47,105.62,0_28_7_16_1,0
51,13,105.62,0_28_28_4_4,0
52,14,105.61,0_28_28_16_4,0
53,73,105.6,1_28_7_1_1,0
54,15,105.6,0_28_28_1_1,0
55,46,105.59,0_28_7_4_1,0
56,38,105.56,0_28_7_1_1,0
57,74,105.55,1_28_7_16_1,0
58,16,105.54,0_28_28_64_16,0
59,17,105.54,0_28_28_64_64,0
61,39,105.53,0_28_7_1_16,0
60,18,105.53,0_28_28_16_16,0
62,19,105.51,0_28_28_16_1,0
63,45,105.49,0_28_7_64_1,0
64,20,105.45,0_28_28_4_1,0
65,21,105.39,2,0
66,89,104.93,4,0
67,90,104.73,3,0
68,79,104.24,5,0
69,100,102.13,0_7_7_16_16,0
70,121,102.02,1_7_28_64_64,0
71,101,102.02,0_7_7_64_4,0
72,130,101.99,1_7_7_1_64,0
73,118,101.91,1_7_28_1_16,0
74,123,101.9,1_7_28_4_64,0
75,119,101.89,1_7_28_64_16,0
78,42,101.87,1_7_28_1_4,0
77,120,101.87,1_7_28_1_64,0
76,102,101.87,0_7_7_4_4,0
79,129,101.84,1_7_7_16_64,0
82,131,101.83,1_7_7_4_16,0
80,128,101.83,1_7_7_64_16,0
81,125,101.83,1_7_7_1_16,0
83,60,101.8,1_7_7_16_4,0
85,63,101.78,1_7_7_4_4,0
84,43,101.78,1_7_28_64_4,0
86,48,101.74,1_7_28_4_4,0
87,124,101.74,1_7_28_4_16,0
88,126,101.71,1_7_7_16_16,0
89,44,101.7,1_7_28_16_4,0
90,117,101.69,1_7_28_16_16,0
91,62,101.67,1_7_7_64_4,0
92,108,101.63,0_7_7_64_64,0
93,132,101.61,1_7_7_4_64,0
94,61,101.6,1_7_7_1_4,0
95,107,101.48,0_7_7_16_64,0
96,106,101.41,0_7_7_4_16,0
97,127,101.37,1_7_7_64_64,0
98,105,101.31,0_7_7_4_64,0
99,122,101.09,1_7_28_16_64,0
100,104,100.99,0_7_7_16_4,0
101,69,100.69,1_7_28_16_1,0
102,78,100.68,1_7_7_16_1,0
103,80,100.67,1_7_7_4_1,0
104,71,100.59,1_7_28_4_1,0
105,77,100.56,1_7_7_1_1,0
106,68,100.53,1_7_28_1_1,0
107,103,100.5,0_7_7_64_16,0
108,70,100.36,1_7_28_64_1,0
109,76,100.29,1_7_7_64_1,0
110,56,99.924,0_7_7_1_64,0
111,55,99.89,0_7_7_1_4,0
112,58,99.85,0_7_7_16_1,0
113,57,99.787,0_7_7_4_1,0
114,27,99.724,0_7_28_4_4,0
115,54,99.713,0_7_7_1_16,0
116,59,99.667,0_7_7_64_1,0
117,49,99.648,0_7_7_1_1,0
118,26,99.612,0_7_28_64_64,0
119,24,99.548,0_7_28_1_64,0
120,23,99.541,0_7_28_1_16,0
121,29,99.428,0_7_28_16_16,0
122,22,99.427,0_7_28_1_4,0
123,35,99.385,0_7_28_4_64,0
124,37,99.337,0_7_28_16_1,0
125,34,99.282,0_7_28_16_64,0
126,33,99.036,0_7_28_64_16,0
127,32,98.504,0_7_28_1_1,0
128,36,98.253,0_7_28_4_1,0
129,31,98.204,0_7_28_64_1,0
130,30,98.118,0_7_28_64_4,0
131,28,98.01,0_7_28_4_16,0
132,25,97.858,0_7_28_16_4,0

