100 56 56 64 256 1 1 0 0 1,1,0,87.16,1,86.825,2,85.295,3,87.898,4,85.426,5,87.639,7,1.125,28,0,1495.3,1,1500.8,2,1518.8,3,1558.9,4,1485.9,5,1508.8,7,30.723,
100 56 56 64 64 1 1 0 0 1,1,0,81.595,1,82.22,2,84.028,3,83.602,4,83.586,5,83.78,7,1.1218,28,0,1682.1,1,1695.4,2,1795,3,1609.5,4,1730.7,5,1683.6,7,29.1,
100 56 56 64 64 3 3 1 1 1,1,0,98.401,1,98.754,2,97.474,3,97.105,4,85.124,5,85.352,7,0.86093,28,0,2600.5,1,2566.9,2,2566.3,3,2577.6,4,2396.9,5,2382.6,7,24.07,
100 56 56 256 64 1 1 0 0 1,1,0,84.303,1,91.138,2,84.568,3,91.271,4,84.877,5,84.724,7,0.86142,28,0,1472.6,1,1501.7,2,1501.3,3,1504.9,4,1483.8,5,1494.9,7,23.937,
100 28 28 256 512 1 1 0 0 1,1,0,89.058,1,93.896,2,92.239,3,96.032,4,92.449,5,86.845,7,0.86749,28,0,2117.3,1,2335.6,2,2322.4,3,2047.3,4,2326.7,5,2035.6,7,24.259,
100 28 28 256 128 1 1 0 0 1,1,0,94.231,1,93.236,2,92.005,3,93.154,4,91.345,5,95.24,7,0.86457,28,0,2195.9,1,2230.3,2,2201.7,3,2238,4,2190.8,5,2230.3,7,24.128,
100 28 28 128 128 3 3 1 1 1,1,0,98.322,1,99.696,2,98.836,3,98.456,4,98.367,5,97.712,7,0.84474,28,0,2673.5,1,2730.7,2,2684.4,3,2677.5,4,2673.9,5,2663.7,7,23.625,
100 28 28 128 512 1 1 0 0 1,1,0,87.077,1,91.005,2,92.526,3,92.955,4,92.847,5,87.365,7,0.94399,28,0,2156.6,1,2254.4,2,2311.4,3,1896.2,4,2307.8,5,1993.3,7,26.337,
100 28 28 512 128 1 1 0 0 1,1,0,94.776,1,94.633,2,93.093,3,95.423,4,93.326,5,95.284,7,0.84556,28,0,2154.4,1,1888.3,2,2075.9,3,1918.4,4,2056.5,5,2146.7,7,23.566,
100 14 14 512 1024 1 1 0 0 1,1,0,,1,,2,93.272,3,65.942,4,93.56,5,69.959,7,0.8466,28,0,,1,,2,2559.5,3,2064.6,4,2563.8,5,2029.9,7,23.678,
100 14 14 512 256 1 1 0 0 1,1,0,,1,,2,94.937,3,96.914,4,95.596,5,93.734,7,0.84654,28,0,,1,,2,2368.6,3,2475.8,4,2459.7,5,2363.2,7,23.634,
100 14 14 256 256 3 3 1 1 1,1,0,,1,,2,92.483,3,65.694,4,95.291,5,91.609,7,0.84089,28,0,,1,,2,2547.7,3,2018.3,4,2647.7,5,2511.6,7,23.531,
100 14 14 256 1024 1 1 0 0 1,1,0,,1,,2,91.636,3,72.837,4,92.315,5,69.92,7,0.86523,28,0,,1,,2,2512.8,3,2051.8,4,2499.3,5,1986.5,7,24.209,
100 14 14 1024 256 1 1 0 0 1,1,0,,1,,2,91.319,3,70.096,4,92.036,5,90.348,7,0.83641,28,0,,1,,2,2387.9,3,1995.4,4,2413.9,5,2370.1,7,23.379,
100 7 7 1024 2048 1 1 0 0 1,1,0,,1,,2,80.446,3,50.031,4,80.993,5,47.916,7,0.83597,28,0,,1,,2,2260.1,3,1546.5,4,2260.1,5,1457,7,23.393,
100 7 7 1024 512 1 1 0 0 1,1,0,,1,,2,80.241,3,44.671,4,80.791,5,69.768,7,0.83586,28,0,,1,,2,2133.9,3,1174.5,4,2306,5,1833,7,23.372,
100 7 7 512 512 3 3 1 1 1,1,0,,1,,2,75.328,3,49.383,4,81.669,5,69.421,7,0.70972,28,0,,1,,2,2073.4,3,1472.3,4,2264.2,5,1920.9,7,23.108,
100 7 7 512 2048 1 1 0 0 1,1,0,,1,,2,79.309,3,47.764,4,80.504,5,46.328,7,0.84591,28,0,,1,,2,2225.3,3,1506.7,4,2259.4,5,1304.5,7,23.661,
100 7 7 2048 512 1 1 0 0 1,1,0,,1,,2,79.593,3,48.15,4,81.352,5,69.541,7,0.83088,28,0,,1,,2,2286.7,3,1345.1,4,2249.6,5,1862.9,7,23.24,
