2,1692
3,1835.7
4,1659.4
5,1807.5
1_7_7_1_1,1675.4
1_7_7_1_4,1816.5
1_7_7_1_16,1846
1_7_7_1_64,1833
1_7_7_1_256,1840.3
1_7_7_4_1,1632
1_7_7_4_4,1839.8
1_7_7_4_16,1841.8
1_7_7_4_64,1849.8
1_7_7_4_256,1831.8
1_7_7_16_1,1616.5
1_7_7_16_4,1839.1
1_7_7_16_16,1835.6
1_7_7_16_64,1854.3
1_7_7_16_256,1848.1
1_7_7_64_1,1678.3
1_7_7_64_4,1850.1
1_7_7_64_16,1856.6
1_7_7_64_64,1842.8
1_7_7_64_256,1849.7
1_7_28_1_1,1637.4
1_7_28_1_4,1845
1_7_28_1_16,1852.1
1_7_28_1_64,1841.2
1_7_28_1_256,1838.7
1_7_28_4_1,1708.1
1_7_28_4_4,1842.3
1_7_28_4_16,1844.3
1_7_28_4_64,1844.6
1_7_28_4_256,1827.8
1_7_28_16_1,1658.4
1_7_28_16_4,1849.9
1_7_28_16_16,1835.1
1_7_28_16_64,1859.9
1_7_28_16_256,1838.3
1_7_28_64_1,1694
1_7_28_64_4,1831.9
1_7_28_64_16,1852.6
1_7_28_64_64,1837.1
1_7_28_64_256,1856.2
1_28_7_1_1,1677.7
1_28_7_1_4,1836.7
1_28_7_1_16,1835
1_28_7_1_64,1833.5
1_28_7_1_256,1824.4
1_28_7_4_1,1701.7
1_28_7_4_4,1830.7
1_28_7_4_16,1820.8
1_28_7_4_64,1835.5
1_28_7_4_256,1796.7
1_28_7_16_1,1705.7
1_28_7_16_4,1811.1
1_28_7_16_16,1837
1_28_7_16_64,1827.5
1_28_7_16_256,1824.9
1_28_7_64_1,1703.2
1_28_7_64_4,1833.2
1_28_7_64_16,1827.4
1_28_7_64_64,1823.2
1_28_7_64_256,1840.6
1_28_28_1_1,1701.7
1_28_28_1_4,1814.3
1_28_28_1_16,1838.9
1_28_28_1_64,1800.6
1_28_28_1_256,1841.5
1_28_28_4_1,1694.5
1_28_28_4_4,1835.1
1_28_28_4_16,1797.2
1_28_28_4_64,1819.7
1_28_28_4_256,1826.2
1_28_28_16_1,1743.8
1_28_28_16_4,1779.8
1_28_28_16_16,1786.7
1_28_28_16_64,1834.3
1_28_28_16_256,1838.9
1_28_28_64_1,1683.4
1_28_28_64_4,1827
1_28_28_64_16,1817.8
1_28_28_64_64,1846.5
1_28_28_64_256,1812.9
0_7_7_1_1,1667.3
0_7_7_1_4,1737.7
0_7_7_1_16,1745.1
0_7_7_1_64,1757.3
0_7_7_1_256,1773.7
0_7_7_4_1,1672
0_7_7_4_4,1764.3
0_7_7_4_16,1743.3
0_7_7_4_64,1769.1
0_7_7_4_256,1762.8
0_7_7_16_1,1655.7
0_7_7_16_4,1743.2
0_7_7_16_16,1757.6
0_7_7_16_64,1745.1
0_7_7_16_256,1733.9
0_7_7_64_1,1671.1
0_7_7_64_4,1757.8
0_7_7_64_16,1759.8
0_7_7_64_64,1737.2
0_7_7_64_256,1773.7
0_7_28_1_1,1676.8
0_7_28_1_4,1749.4
0_7_28_1_16,1769.7
0_7_28_1_64,1749.1
0_7_28_1_256,1812.8
0_7_28_4_1,1660.6
0_7_28_4_4,1775.4
0_7_28_4_16,1760.4
0_7_28_4_64,1740.2
0_7_28_4_256,1784.9
0_7_28_16_1,1642.8
0_7_28_16_4,1726
0_7_28_16_16,1736.7
0_7_28_16_64,1749
0_7_28_16_256,1762.2
0_7_28_64_1,1643.3
0_7_28_64_4,1785.5
0_7_28_64_16,1795.2
0_7_28_64_64,1778.5
0_7_28_64_256,1752.7
0_28_7_1_1,1724.8
0_28_7_1_4,1789.4
0_28_7_1_16,1785.5
0_28_7_1_64,1801.1
0_28_7_1_256,1778.4
0_28_7_4_1,1695.1
0_28_7_4_4,1805
0_28_7_4_16,1812.6
0_28_7_4_64,1811.4
0_28_7_4_256,1807.4
0_28_7_16_1,1724.4
0_28_7_16_4,1765.2
0_28_7_16_16,1739
0_28_7_16_64,1783.9
0_28_7_16_256,1748.2
0_28_7_64_1,1706
0_28_7_64_4,1717.8
0_28_7_64_16,1794.2
0_28_7_64_64,1767.1
0_28_7_64_256,1801
0_28_28_1_1,1619.4
0_28_28_1_4,1804.5
0_28_28_1_16,1765.3
0_28_28_1_64,1830.1
0_28_28_1_256,1791.6
0_28_28_4_1,1663
0_28_28_4_4,1774.7
0_28_28_4_16,1791
0_28_28_4_64,1796.8
0_28_28_4_256,1812.9
0_28_28_16_1,1710
0_28_28_16_4,1839.8
0_28_28_16_16,1817.5
0_28_28_16_64,1846.9
0_28_28_16_256,1806.5
0_28_28_64_1,1717.1
0_28_28_64_4,1799.5
0_28_28_64_16,1841.5
0_28_28_64_64,1836.5
0_28_28_64_256,1805.8
