2,1692,5,2,0,3,34592,89608,0,6475784
3,1835.7,5,4,0,1,34592,333328,0,4007936
4,1659.4,5,2,0,3,34592,89608,0,6475784
5,1807.5,5,4,0,1,34592,333328,0,4007936
1_7_7_1_1,1675.4,11,4,0,1,59256,2130960,0,3874816
1_7_7_1_4,1816.5,11,4,1,2,52856,492048,1421312,4882440
1_7_7_1_16,1846,9,6,0,1,17456,1472856,0,3577856
1_7_7_1_64,1833,9,6,0,1,17456,1472856,0,3577856
1_7_7_1_256,1840.3,9,6,0,1,17456,1472856,0,3577856
1_7_7_4_1,1632,11,4,0,1,59256,2130960,0,3874816
1_7_7_4_4,1839.8,11,4,1,2,52856,492048,1421312,4882440
1_7_7_4_16,1841.8,9,6,0,1,17456,1472856,0,3577856
1_7_7_4_64,1849.8,9,6,0,1,17456,1472856,0,3577856
1_7_7_4_256,1831.8,9,6,0,1,17456,1472856,0,3577856
1_7_7_16_1,1616.5,11,4,0,1,59256,2130960,0,3874816
1_7_7_16_4,1839.1,11,4,1,2,52856,492048,1421312,4882440
1_7_7_16_16,1835.6,9,6,0,1,17456,1472856,0,3577856
1_7_7_16_64,1854.3,9,6,0,1,17456,1472856,0,3577856
1_7_7_16_256,1848.1,9,6,0,1,17456,1472856,0,3577856
1_7_7_64_1,1678.3,11,4,0,1,59256,2130960,0,3874816
1_7_7_64_4,1850.1,11,4,1,2,52856,492048,1421312,4882440
1_7_7_64_16,1856.6,9,6,0,1,17456,1472856,0,3577856
1_7_7_64_64,1842.8,9,6,0,1,17456,1472856,0,3577856
1_7_7_64_256,1849.7,9,6,0,1,17456,1472856,0,3577856
1_7_28_1_1,1637.4,11,4,0,1,59256,2507272,0,3874816
1_7_28_1_4,1845,11,5,0,2,52856,2515464,0,4882440
1_7_28_1_16,1852.1,9,4,0,3,17456,409936,0,6146048
1_7_28_1_64,1841.2,9,4,0,3,17456,409936,0,6146048
1_7_28_1_256,1838.7,9,4,0,3,17456,409936,0,6146048
1_7_28_4_1,1708.1,11,4,0,1,59256,2507272,0,3874816
1_7_28_4_4,1842.3,11,5,0,2,52856,2515464,0,4882440
1_7_28_4_16,1844.3,9,4,0,3,17456,409936,0,6146048
1_7_28_4_64,1844.6,9,4,0,3,17456,409936,0,6146048
1_7_28_4_256,1827.8,9,4,0,3,17456,409936,0,6146048
1_7_28_16_1,1658.4,11,4,0,1,59256,2507272,0,3874816
1_7_28_16_4,1849.9,11,5,0,2,52856,2515464,0,4882440
1_7_28_16_16,1835.1,9,4,0,3,17456,409936,0,6146048
1_7_28_16_64,1859.9,9,4,0,3,17456,409936,0,6146048
1_7_28_16_256,1838.3,9,4,0,3,17456,409936,0,6146048
1_7_28_64_1,1694,11,4,0,1,59256,2507272,0,3874816
1_7_28_64_4,1831.9,11,5,0,2,52856,2515464,0,4882440
1_7_28_64_16,1852.6,9,4,0,3,17456,409936,0,6146048
1_7_28_64_64,1837.1,9,4,0,3,17456,409936,0,6146048
1_7_28_64_256,1856.2,9,4,0,3,17456,409936,0,6146048
1_28_7_1_1,1677.7,11,4,0,1,70000,2130960,0,3874816
1_28_7_1_4,1836.7,12,3,1,2,121200,450576,1421312,4882440
1_28_7_1_16,1835,9,6,0,1,34928,1498384,0,3577856
1_28_7_1_64,1833.5,9,6,0,1,34928,1498384,0,3577856
1_28_7_1_256,1824.4,9,6,0,1,34928,1498384,0,3577856
1_28_7_4_1,1701.7,11,4,0,1,70000,2130960,0,3874816
1_28_7_4_4,1830.7,12,3,1,2,121200,450576,1421312,4882440
1_28_7_4_16,1820.8,9,6,0,1,34928,1498384,0,3577856
1_28_7_4_64,1835.5,9,6,0,1,34928,1498384,0,3577856
1_28_7_4_256,1796.7,9,6,0,1,34928,1498384,0,3577856
1_28_7_16_1,1705.7,11,4,0,1,70000,2130960,0,3874816
1_28_7_16_4,1811.1,12,3,1,2,121200,450576,1421312,4882440
1_28_7_16_16,1837,9,6,0,1,34928,1498384,0,3577856
1_28_7_16_64,1827.5,9,6,0,1,34928,1498384,0,3577856
1_28_7_16_256,1824.9,9,6,0,1,34928,1498384,0,3577856
1_28_7_64_1,1703.2,11,4,0,1,70000,2130960,0,3874816
1_28_7_64_4,1833.2,12,3,1,2,121200,450576,1421312,4882440
1_28_7_64_16,1827.4,9,6,0,1,34928,1498384,0,3577856
1_28_7_64_64,1823.2,9,6,0,1,34928,1498384,0,3577856
1_28_7_64_256,1840.6,9,6,0,1,34928,1498384,0,3577856
1_28_28_1_1,1701.7,11,4,0,1,70000,2507272,0,3874816
1_28_28_1_4,1814.3,12,4,0,2,121200,2473992,0,4882440
1_28_28_1_16,1838.9,9,4,0,3,34928,435464,0,6146048
1_28_28_1_64,1800.6,9,4,0,3,34928,435464,0,6146048
1_28_28_1_256,1841.5,9,4,0,3,34928,435464,0,6146048
1_28_28_4_1,1694.5,11,4,0,1,70000,2507272,0,3874816
1_28_28_4_4,1835.1,12,4,0,2,121200,2473992,0,4882440
1_28_28_4_16,1797.2,9,4,0,3,34928,435464,0,6146048
1_28_28_4_64,1819.7,9,4,0,3,34928,435464,0,6146048
1_28_28_4_256,1826.2,9,4,0,3,34928,435464,0,6146048
1_28_28_16_1,1743.8,11,4,0,1,70000,2507272,0,3874816
1_28_28_16_4,1779.8,12,4,0,2,121200,2473992,0,4882440
1_28_28_16_16,1786.7,9,4,0,3,34928,435464,0,6146048
1_28_28_16_64,1834.3,9,4,0,3,34928,435464,0,6146048
1_28_28_16_256,1838.9,9,4,0,3,34928,435464,0,6146048
1_28_28_64_1,1683.4,11,4,0,1,70000,2507272,0,3874816
1_28_28_64_4,1827,12,4,0,2,121200,2473992,0,4882440
1_28_28_64_16,1817.8,9,4,0,3,34928,435464,0,6146048
1_28_28_64_64,1846.5,9,4,0,3,34928,435464,0,6146048
1_28_28_64_256,1812.9,9,4,0,3,34928,435464,0,6146048
