ActualRank,PolyRank,GFLOPS,Version
1,142,1859.9,1_7_28_16_64
2,10,1856.6,1_7_7_64_16
3,139,1856.2,1_7_28_64_256
4,11,1854.3,1_7_7_16_64
5,146,1852.6,1_7_28_64_16
6,150,1852.1,1_7_28_1_16
7,101,1850.1,1_7_7_64_4
8,83,1849.9,1_7_28_16_4
9,12,1849.8,1_7_7_4_64
10,9,1849.7,1_7_7_64_256
11,8,1848.1,1_7_7_16_256
12,113,1846.9,0_28_28_16_64
13,158,1846.5,1_28_28_64_64
14,7,1846,1_7_7_1_16
15,86,1845,1_7_28_1_4
16,143,1844.6,1_7_28_4_64
17,140,1844.3,1_7_28_4_16
18,6,1842.8,1_7_7_64_64
19,85,1842.3,1_7_28_4_4
20,1,1841.8,1_7_7_4_16
21,121,1841.5,0_28_28_64_16
22,159,1841.5,1_28_28_1_256
23,144,1841.2,1_7_28_1_64
24,39,1840.6,1_28_7_64_256
25,5,1840.3,1_7_7_1_256
27,117,1839.8,0_28_28_16_4
26,100,1839.8,1_7_7_4_4
28,102,1839.1,1_7_7_16_4
29,152,1838.9,1_28_28_16_256
30,153,1838.9,1_28_28_1_16
31,145,1838.7,1_7_28_1_256
32,148,1838.3,1_7_28_16_256
33,147,1837.1,1_7_28_64_64
34,40,1837,1_28_7_16_16
35,92,1836.7,1_28_7_1_4
36,112,1836.5,0_28_28_64_64
37,58,1835.7,3
38,2,1835.6,1_7_7_16_16
39,37,1835.5,1_28_7_4_64
40,76,1835.1,1_28_28_4_4
41,141,1835.1,1_7_28_16_16
42,36,1835,1_28_7_1_16
43,161,1834.3,1_28_28_16_64
44,35,1833.5,1_28_7_1_64
45,93,1833.2,1_28_7_64_4
46,3,1833,1_7_7_1_64
47,84,1831.9,1_7_28_64_4
48,4,1831.8,1_7_7_4_256
49,94,1830.7,1_28_7_4_4
50,116,1830.1,0_28_28_1_64
51,149,1827.8,1_7_28_4_256
52,34,1827.5,1_28_7_16_64
53,33,1827.4,1_28_7_64_16
54,77,1827,1_28_28_64_4
55,154,1826.2,1_28_28_4_256
56,32,1824.9,1_28_7_16_256
57,31,1824.4,1_28_7_1_256
58,30,1823.2,1_28_7_64_64
59,29,1820.8,1_28_7_4_16
60,157,1819.7,1_28_28_4_64
61,162,1817.8,1_28_28_64_16
62,108,1817.5,0_28_28_16_16
63,99,1816.5,1_7_7_1_4
64,75,1814.3,1_28_28_1_4
65,122,1812.9,0_28_28_4_256
66,156,1812.9,1_28_28_64_256
67,124,1812.8,0_7_28_1_256
68,15,1812.6,0_28_7_4_16
69,13,1811.4,0_28_7_4_64
70,91,1811.1,1_28_7_16_4
71,57,1807.5,5
72,17,1807.4,0_28_7_4_256
73,110,1806.5,0_28_28_16_256
74,111,1805.8,0_28_28_64_256
75,18,1805,0_28_7_4_4
76,115,1804.5,0_28_28_1_4
77,19,1801.1,0_28_7_1_64
78,20,1801,0_28_7_64_256
79,151,1800.6,1_28_28_1_64
80,118,1799.5,0_28_28_64_4
81,155,1797.2,1_28_28_4_16
82,120,1796.8,0_28_28_4_64
83,38,1796.7,1_28_7_4_256
84,137,1795.2,0_7_28_64_16
85,27,1794.2,0_28_7_64_16
86,109,1791.6,0_28_28_1_256
87,107,1791,0_28_28_4_16
88,26,1789.4,0_28_7_1_4
89,160,1786.7,1_28_28_16_16
91,25,1785.5,0_28_7_1_16
90,125,1785.5,0_7_28_64_4
92,126,1784.9,0_7_28_4_256
93,23,1783.9,0_28_7_16_64
94,78,1779.8,1_28_28_16_4
95,129,1778.5,0_7_28_64_64
96,22,1778.4,0_28_7_1_256
97,132,1775.4,0_7_28_4_4
98,114,1774.7,0_28_28_4_4
100,43,1773.7,0_7_7_64_256
99,42,1773.7,0_7_7_1_256
101,127,1769.7,0_7_28_1_16
102,44,1769.1,0_7_7_4_64
103,21,1767.1,0_28_7_64_64
104,119,1765.3,0_28_28_1_16
105,24,1765.2,0_28_7_16_4
106,45,1764.3,0_7_7_4_4
107,46,1762.8,0_7_7_4_256
108,128,1762.2,0_7_28_16_256
109,131,1760.4,0_7_28_4_16
110,47,1759.8,0_7_7_64_16
111,48,1757.8,0_7_7_64_4
112,49,1757.6,0_7_7_16_16
113,50,1757.3,0_7_7_1_64
114,134,1752.7,0_7_28_64_256
115,135,1749.4,0_7_28_1_4
116,136,1749.1,0_7_28_1_64
117,138,1749,0_7_28_16_64
118,28,1748.2,0_28_7_16_256
119,41,1745.1,0_7_7_1_16
120,51,1745.1,0_7_7_16_64
121,74,1743.8,1_28_28_16_1
122,52,1743.3,0_7_7_4_16
123,53,1743.2,0_7_7_16_4
124,133,1740.2,0_7_28_4_64
125,16,1739,0_28_7_16_16
126,54,1737.7,0_7_7_1_4
127,55,1737.2,0_7_7_64_64
128,123,1736.7,0_7_28_16_16
129,56,1733.9,0_7_7_16_256
130,130,1726,0_7_28_16_4
131,98,1724.8,0_28_7_1_1
132,97,1724.4,0_28_7_16_1
133,14,1717.8,0_28_7_64_4
134,80,1717.1,0_28_28_64_1
135,81,1710,0_28_28_16_1
136,70,1708.1,1_7_28_4_1
137,95,1706,0_28_7_64_1
138,66,1705.7,1_28_7_16_1
139,65,1703.2,1_28_7_64_1
141,73,1701.7,1_28_28_1_1
140,64,1701.7,1_28_7_4_1
142,96,1695.1,0_28_7_4_1
143,72,1694.5,1_28_28_4_1
144,69,1694,1_7_28_64_1
145,164,1692,2
146,71,1683.4,1_28_28_64_1
147,60,1678.3,1_7_7_64_1
148,63,1677.7,1_28_7_1_1
149,89,1676.8,0_7_28_1_1
150,61,1675.4,1_7_7_1_1
151,103,1672,0_7_7_4_1
152,104,1671.1,0_7_7_64_1
153,106,1667.3,0_7_7_1_1
154,82,1663,0_28_28_4_1
155,90,1660.6,0_7_28_4_1
156,163,1659.4,4
157,68,1658.4,1_7_28_16_1
158,105,1655.7,0_7_7_16_1
159,87,1643.3,0_7_28_64_1
160,88,1642.8,0_7_28_16_1
161,67,1637.4,1_7_28_1_1
162,62,1632,1_7_7_4_1
163,79,1619.4,0_28_28_1_1
164,59,1616.5,1_7_7_16_1

