100 14 14 512 256 1 1 0 0 1,,,,,
ActualRank,PolyRank,GFLOPS,Version,,Correlation_coefficient
1,4,98.702,2,,-0.443781951
2,6,98.4,4,,
3,34,98.304,3,,
4,5,97.537,5,,
5,45,97.375,2,,
6,44,97.096,3,,
7,12,96.435,3,,
8,2,96.016,4,,
9,9,95.68,5,,
10,3,95.661,2,,
11,22,95.626,3,,
12,36,95.149,4,,
13,7,94.905,5,,
14,17,94.635,3,,
15,11,93.93,3,,
16,24,93.762,4,,
17,1,93.485,5,,
18,23,93.264,2,,
19,54,93.092,4,,
20,8,92.943,3,,
21,60,92.938,4,,
22,61,92.831,2,,
23,53,92.828,2,,
24,10,92.651,2,,
25,15,92.371,4,,
26,21,92.292,4,,
27,51,92.021,4,,
28,14,91.857,2,,
29,41,91.575,3,,
30,50,91.512,2,,
31,20,91.351,2,,
32,49,91.197,4,,
33,35,91.176,5,,
34,48,90.845,2,,
35,13,90.557,5,,
36,42,87.678,5,,
37,43,87.333,3,,
38,62,87.093,5,,
39,59,86.529,5,,
40,70,85.412,4,,
41,69,85.409,2,,
42,75,85.271,5,,
43,72,85.095,2,,
44,73,85.067,5,,
45,76,85.035,4,,
46,71,84.842,4,,
47,40,84.166,5,,
48,39,84.13,4,,
49,38,83.903,3,,
50,37,83.204,2,,
51,46,81.851,4,,
52,32,81.336,4,,
53,18,80.747,4,,
54,31,80.482,2,,
55,29,80.419,4,,
56,26,80.315,4,,
57,19,80.046,2,,
58,25,79.754,2,,
59,28,79.641,2,,
60,55,75.663,2,,
61,56,72.848,3,,
62,52,70.514,3,,
63,58,69.896,5,,
64,57,69.684,5,,
65,47,69.497,5,,
66,27,69.453,5,,
67,16,69.179,5,,
68,64,65.764,3,,
69,68,65.757,3,,
70,67,49.969,3,,
71,74,49.491,3,,
72,33,48.065,5,,
73,66,48.064,3,,
74,65,47.931,3,,
75,30,46.433,5,,
76,63,44.957,3,,
