2,1629.8,5,2,0,3,34592,89608,0,6475784
3,1811.1,5,4,0,1,34592,333328,0,4007936
4,1623.5,5,2,0,3,34592,89608,0,6475784
5,1781.6,5,4,0,1,34592,333328,0,4007936
1_7_7_1_1,1582.3,11,4,0,1,59256,2130960,0,3874816
1_7_7_1_4,1794.6,11,4,1,2,52856,492048,1421312,4882440
1_7_7_1_16,1423.5,9,6,0,1,17456,1472856,0,3577856
1_7_7_1_64,1803.9,9,6,0,1,17456,1472856,0,3577856
1_7_7_1_256,1819.4,9,6,0,1,17456,1472856,0,3577856
1_7_7_4_1,1588.7,11,4,0,1,59256,2130960,0,3874816
1_7_7_4_4,1804.3,11,4,1,2,52856,492048,1421312,4882440
1_7_7_4_16,1789.5,9,6,0,1,17456,1472856,0,3577856
1_7_7_4_64,1836.4,9,6,0,1,17456,1472856,0,3577856
1_7_7_4_256,1816.8,9,6,0,1,17456,1472856,0,3577856
1_7_7_16_1,1636.8,11,4,0,1,59256,2130960,0,3874816
1_7_7_16_4,1825.6,11,4,1,2,52856,492048,1421312,4882440
1_7_7_16_16,1816.1,9,6,0,1,17456,1472856,0,3577856
1_7_7_16_64,1784.5,9,6,0,1,17456,1472856,0,3577856
1_7_7_16_256,1818.3,9,6,0,1,17456,1472856,0,3577856
1_7_7_64_1,1593.1,11,4,0,1,59256,2130960,0,3874816
1_7_7_64_4,1822.2,11,4,1,2,52856,492048,1421312,4882440
1_7_7_64_16,1810.6,9,6,0,1,17456,1472856,0,3577856
1_7_7_64_64,1818.2,9,6,0,1,17456,1472856,0,3577856
1_7_7_64_256,1814,9,6,0,1,17456,1472856,0,3577856
1_7_28_1_1,1637.2,11,4,0,1,59256,2507272,0,3874816
1_7_28_1_4,1772.3,11,5,0,2,52856,2515464,0,4882440
1_7_28_1_16,1827.2,9,4,0,3,17456,409936,0,6146048
1_7_28_1_64,1744.6,9,4,0,3,17456,409936,0,6146048
1_7_28_1_256,1816.5,9,4,0,3,17456,409936,0,6146048
1_7_28_4_1,1559.2,11,4,0,1,59256,2507272,0,3874816
1_7_28_4_4,1468.8,11,5,0,2,52856,2515464,0,4882440
1_7_28_4_16,1824.8,9,4,0,3,17456,409936,0,6146048
1_7_28_4_64,1782.4,9,4,0,3,17456,409936,0,6146048
1_7_28_4_256,1816.3,9,4,0,3,17456,409936,0,6146048
1_7_28_16_1,1540,11,4,0,1,59256,2507272,0,3874816
1_7_28_16_4,1828.8,11,5,0,2,52856,2515464,0,4882440
1_7_28_16_16,1419.6,9,4,0,3,17456,409936,0,6146048
1_7_28_16_64,1759.1,9,4,0,3,17456,409936,0,6146048
1_7_28_16_256,1834.8,9,4,0,3,17456,409936,0,6146048
1_7_28_64_1,1558.5,11,4,0,1,59256,2507272,0,3874816
1_7_28_64_4,1806,11,5,0,2,52856,2515464,0,4882440
1_7_28_64_16,1750.5,9,4,0,3,17456,409936,0,6146048
1_7_28_64_64,1785.2,9,4,0,3,17456,409936,0,6146048
1_7_28_64_256,1721.2,9,4,0,3,17456,409936,0,6146048
1_28_7_1_1,1647.5,11,4,0,1,70000,2130960,0,3874816
1_28_7_1_4,1730,12,3,1,2,121200,450576,1421312,4882440
1_28_7_1_16,1786.1,9,6,0,1,34928,1498384,0,3577856
1_28_7_1_64,1636.9,9,6,0,1,34928,1498384,0,3577856
1_28_7_1_256,1751.2,9,6,0,1,34928,1498384,0,3577856
