"Machine: Model name:            Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz
Stepping:              7
CPU MHz:               1800.000
CPU max MHz:           2701.0000
CPU min MHz:           1000.0000
BogoMIPS:              5400.00
Virtualization:        VT-x
L1d cache:             32K
L1i cache:             32K
L2 cache:              1024K
L3 cache:              39424K
NUMA node0 CPU(s):     0-27,56-83
NUMA node1 CPU(s):     28-55,84-111
",#NAME?,,N=1,Data is located at: /nfs_home/stavarag/work/test/polyscientist/apps/experiments/perf_data,,,#NAME?,,N=28,,,,#NAME?,,,N=1,,,,,,#NAME?,,,N=28,,,#NAME?,,,N=1,,,#NAME?,,,N=28,,,#NAME?,,,N=1,,,#NAME?,,,N=28,,,,
Config,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,,,Difference,,Layer,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,Layer,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,Layer,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,,,
100 14 14 256 1024 1 1 0 0 1,98.193,98.193,4,98.193,0.00%,,2728.1,2728.1,4,2728.1,0.00%,,98.193,98.193,4,98.193,,,0.00%,,13,2728.1,2728.1,4,2728.1,0.00%,,98.193,98.193,4,98.193,0.00%,,2728.1,2728.1,4,2728.1,0.00%,13,98.193,98.193,4,98.193,0.00%,13,2728.1,2728.1,4,2728.1,0.00%,,,
100 14 14 1024 256 1 1 0 0 1,98.328,96.952,4,96.952,-1.40%,,2717.6,2662.7,4,2662.7,-2.02%,,98.328,96.952,4,96.952,,,-1.40%,,14,2717.6,2662.7,4,2662.7,-2.02%,,98.328,96.952,4,96.952,-1.40%,,2717.6,2662.7,4,2662.7,-2.02%,14,98.328,96.952,4,96.952,-1.40%,14,2717.6,2717.6,4,2717.6,0.00%,,,
100 7 7 1024 2048 1 1 0 0 1,85.504,85.504,4,85.504,0.00%,,2405.6,2405.6,4,2405.6,0.00%,,85.504,85.504,4,85.504,,,0.00%,,15,2405.6,2405.6,4,2405.6,0.00%,,85.504,85.504,4,85.504,0.00%,,2405.6,2405.6,4,2405.6,0.00%,15,85.504,85.504,4,85.504,0.00%,15,2405.6,2405.6,4,2405.6,0.00%,,,
100 7 7 1024 512 1 1 0 0 1,85.535,85.535,4,85.535,0.00%,,2354.9,2354.9,4,2354.9,0.00%,,85.535,85.535,4,85.535,,,0.00%,,16,2354.9,2354.9,4,2354.9,0.00%,,85.535,85.535,4,85.535,0.00%,,2354.9,2354.9,4,2354.9,0.00%,16,85.535,85.535,4,85.535,0.00%,16,2354.9,2354.9,4,2354.9,0.00%,,,
100 7 7 512 512 3 3 1 1 1,85.752,73.886,4,73.886,-13.84%,,2394.4,2065.5,4,2065.5,-13.74%,,85.752,85.752,4,85.752,,,0.00%,,17,2394.4,2394.4,4,2394.4,0.00%,,85.752,79.624,4,79.624,-7.15%,,2394.4,2202.3,4,2202.3,-8.02%,17,85.752,79.624,4,79.624,-7.15%,17,2394.4,2202.3,4,2202.3,-8.02%,,,
100 7 7 512 2048 1 1 0 0 1,84.764,84.764,4,84.764,0.00%,,2376.2,2376.2,4,2376.2,0.00%,,84.764,84.764,4,84.764,,,0.00%,,18,2376.2,2376.2,4,2376.2,0.00%,,84.764,84.764,4,84.764,0.00%,,2376.2,2376.2,4,2376.2,0.00%,18,84.764,84.764,4,84.764,0.00%,18,2376.2,2376.2,4,2376.2,0.00%,,,
100 7 7 2048 512 1 1 0 0 1,85.96,85.96,4,85.96,0.00%,,2378.2,2378.2,4,2378.2,0.00%,,85.96,85.96,4,85.96,,,0.00%,,19,2378.2,2378.2,4,2378.2,0.00%,,85.96,85.96,4,85.96,0.00%,,2378.2,2043.1,4,2043.1,-14.09%,19,85.96,85.96,4,85.96,0.00%,19,2378.2,2378.2,4,2378.2,0.00%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interesting case - Layer 11,GFLOPS,NumL1Reuses,NumL2Reuses,NumL3Reuses,NumMemReuses,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,PessiL1DatasetSize,,,,,,,PessiL2DataSetSize,PessiL3DataSetSize,PessiMemDataSetSize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2844,7,5,0,0,81192,2270224,0,0,17144,,,,,,,648704,945152,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2882.3,7,4,1,0,81192,1306640,1083392,0,17144,,,,,,,599040,1083392,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2855.8,7,5,0,0,81192,2270224,0,0,17144,,,,,,,648704,945152,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2800.5,7,5,0,0,81192,1772560,0,0,17144,,,,,,,701448,1010688,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ActualRank,PolyRank,GFLOPS,Version,wins,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2882.3,3,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2855.8,4,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2844,2,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2800.5,5,0,,,,,,,,,,,,,,,
